,Speaker 1,Speaker 2
0,"Madame,",Je sais bien que 
1,"Madame,","De Votre Majesté,"
2,"Le très humble, très obéissant, et très fidèle serviteur, et sujet, ",J. B. P. 
3,"Quoi, Cousine, personne ne t’est venu rendre visite ?",Personne du monde.
4,"Vraiment voilà qui m’étonne, que nous ayons été seules, l’une et l’autre, tout aujourd’hui.","Cela m’étonne aussi ; car ce n’est guère notre coutume, et votre maison, Dieu merci, est le refuge ordinaire de tous les Fainéants de la Cour."
5,"L’après-dînée, à dire vrai, m’a semblé fort longue.",Et moi je l’ai trouvée fort courte.
6,"C’est que les beaux esprits, Cousine, aiment la solitude.","Ah ! très humble servante au bel esprit, vous savez que ce n’est pas là que je vise."
7,"Pour moi j’aime la compagnie, je l’avoue.","Je l’aime aussi ; mais je l’aime choisie, et la quantité des sottes visites qu’il vous faut essuyer parmi les autres, est cause bien souvent que je prends plaisir d’être seule."
8,"La délicatesse est trop grande, de ne pouvoir souffrir que des gens triés.","Et la complaisance est trop générale, de souffrir indifféremment toutes sortes de personnes."
9,"Je goûte ceux qui sont raisonnables, et me divertis des extravagants.","Ma foi, les extravagants ne vont guère loin sans vous ennuyer, et la plupart de ces gens-là ne sont plus plaisants dès la seconde visite. Mais à propos d’extravagants, ne voulez-vous pas me défaire de votre Marquis incommode ? pensez-vous me le laisser toujours sur les bras, et que je puisse durer à ses turlupinades perpétuelles ?"
10,"Ce langage est à la mode, et l’on le tourne en plaisanterie à la Cour.","Tant pis pour ceux qui le font, et qui se tuent tout le jour à parler ce jargon obscur. La belle chose de faire entrer aux conversations du Louvre de vieilles équivoques ramassées parmi les boues des Halles et de la place Maubert ! La jolie façon de plaisanter pour des Courtisans ! et qu’un homme montre d’esprit lorsqu’il vient vous dire ;"
11,"On ne dit pas cela aussi, comme une chose spirituelle, et la plupart de ceux qui affectent ce langage, savent bien eux-mêmes qu’il est ridicule.","Tant pis encore, de prendre peine à dire des sottises, et d’être mauvais plaisants de dessein formé. Je les en tiens moins excusables ; et, si j’en étais juge, je sais bien à quoi je condamnerais tous ces Messieurs les Turlupins."
12,"Laissons cette matière, qui t’échauffe un peu trop, et disons que Dorante vient bien tard, à mon avis, pour le souper que nous devons faire ensemble.","Peut-être l’a-t-il oublié, et que…"
13,"Voilà Climène, Madame, qui vient ici pour vous voir.",Eh mon Dieu ! quelle visite !
14,"Vous vous plaigniez d’être seule, aussi : le Ciel vous en punit.","Vite, qu’on aille dire que je n’y suis pas."
15,On a déjà dit que vous y étiez.,"Et qui est le sot, qui l’a dit ?"
16,"Moi, Madame.",Diantre soit le petit vilain. Je vous apprendrai bien à faire vos réponses de vous-même.
17,"Je vais lui dire, Madame, que vous voulez être sortie.","Arrêtez animal, et la laissez monter, puisque la sottise est faite."
18,Elle parle encore à un homme dans la rue.,"Ah ! Cousine, que cette visite m’embarrasse à l’heure qu’il est."
19,"Il est vrai que la Dame est un peu embarrassante de son naturel : j’ai toujours eu pour elle une furieuse aversion ; et, n’en déplaise à sa qualité, c’est la plus sotte bête qui se soit jamais mêlée de raisonner.",L’épithète est un peu forte.
20,"Allez, allez, elle mérite bien cela, et quelque chose de plus, si on lui faisait justice. Est-ce qu’il y a une personne qui soit plus véritablement qu’elle, ce qu’on appelle Précieuse, à prendre le mot dans sa plus mauvaise signification ?","Elle se défend bien de ce nom, pourtant."
21,"Il est vrai, elle se défend du nom ; mais non pas de la chose : car enfin elle l’est depuis les pieds jusqu’à la tête, et la plus grande façonnière du monde. Il semble que tout son corps soit démonté, et que les mouvements de ses hanches, de ses épaules, et de sa tête, n’aillent que par ressorts. Elle affecte toujours un ton de voix languissant, et niais ; fait la moue, pour montrer une petite bouche, et roule les yeux, pour les faire paraître grands.","Doucement donc, si elle venait à entendre…"
22,"Point, point, elle ne monte pas encore. Je me souviens toujours du soir qu’elle eut envie de voir Damon, sur la réputation qu’on lui donne, et les choses que le public a vues de lui. Vous connaissez l’homme, et sa naturelle paresse à soutenir la conversation. Elle l’avait invité à souper, comme bel esprit, et jamais il ne parut si sot, parmi une demi-douzaine de gens, à qui elle avait fait fête de lui, et qui le regardaient avec de grands yeux, comme une personne qui ne devait pas être faite comme les autres. Ils pensaient tous qu’il était là pour défrayer la Compagnie de bons mots ; que chaque parole qui sortait de sa bouche devait être extraordinaire ; qu’il devait faire des ","Tais-toi, je vais la recevoir à la porte de la chambre."
23,"Encore un mot. Je voudrais bien la voir mariée avec le Marquis, dont nous avons parlé. Le bel assemblage que ce serait d’une Précieuse, et d’un Turlupin !",Veux-tu te taire ; la voici.
24,"Vraiment, c’est bien tard que…","Eh de grâce, ma chère, faites-moi vite donner un siège."
25,"Un fauteuil, promptement.",Ah mon Dieu !
26,Qu’est-ce donc ?,Je n’en puis plus.
27,Qu’avez-vous ?,Le cœur me manque.
28,"Sont-ce vapeurs, qui vous ont prise ?",Non.
29,"Voulez-vous, que l’on vous délasse ?",Mon Dieu non. Ah !
30,Quel est donc votre mal ? et depuis quand vous a-t-il pris ?,"Il y a plus de trois heures, et je l’ai rapporté du Palais-Royal."
31,Comment ?,"Je viens de voir, pour mes péchés, cette méchante Rapsodie de "
32,"Voyez un peu, comme les maladies arrivent sans qu’on y songe.","Je ne sais pas de quel tempérament nous sommes ma cousine et moi ; mais nous fûmes avant-hier à la même Pièce, et nous en revînmes toutes deux saines et gaillardes."
33,"Quoi, vous l’avez vue ?",Oui ; et écoutée d’un bout à l’autre.
34,"Et vous n’en avez pas été jusques aux convulsions, ma chère ?","Je ne suis pas si délicate, Dieu merci ; et je trouve pour moi, que cette Comédie serait plutôt capable de guérir les gens, que de les rendre malades."
35,"Ah mon Dieu, que dites-vous là ! Cette proposition peut-elle être avancée par une personne, qui ait du revenu en sens commun ? Peut-on, impunément comme vous faites, rompre en visière à la raison ? Et dans le vrai de la chose, est-il un esprit si affamé de plaisanterie, qu’il puisse tâter des fadaises dont cette Comédie est assaisonnée ? Pour moi, je vous avoue, que je n’ai pas trouvé le moindre grain de sel dans tout cela. Les enfants par l’oreille m’ont paru d’un goût détestable ; la tarte à la crème m’a affadi le cœur ; et j’ai pensé vomir au potage.","Mon Dieu ! que tout cela est dit élégamment. J’aurais cru que cette Pièce était bonne ; mais Madame a une éloquence si persuasive, elle tourne les choses d’une manière si agréable, qu’il faut être de son sentiment, malgré qu’on en ait."
36,"Pour moi je n’ai pas tant de complaisance, et pour dire ma pensée, je tiens cette Comédie une des plus plaisantes que l’Auteur ait produites.","Ah ! vous me faites pitié, de parler ainsi ; et je ne saurais vous souffrir cette obscurité de discernement. Peut-on, ayant de la vertu, trouver de l’agrément dans une Pièce, qui tient sans cesse la pudeur en alarme, et salit à tous moments l’imagination ?"
37,"Les jolies façons de parler, que voilà ! Que vous êtes, Madame, une rude joueuse en Critique ; et que je plains le pauvre Molière de vous avoir pour ennemie.","Croyez-moi ma chère, corrigez de bonne foi votre jugement, et pour votre honneur, n’allez point dire par le monde que cette Comédie vous ait plu."
38,"Moi, je ne sais pas ce que vous y avez trouvé qui blesse la pudeur.","Hélas tout ; et je mets en fait, qu’une honnête femme ne la saurait voir, sans confusion ; tant j’y ai découvert d’ordures, et de saletés."
39,"Il faut donc que pour les ordures, vous ayez des lumières, que les autres n’ont pas : car pour moi je n’y en ai point vu.","C'est que vous ne voulez pas y en avoir vu, assurément : car enfin toutes ces ordures, Dieu merci, y sont à visage découvert. Elles n’ont pas la moindre enveloppe qui les couvre ; et les yeux les plus hardis sont effrayés de leur nudité."
40,Ah !,"Hay, hay, hay."
41,"Mais encore, s’il vous plaît, marquez-moi une de ces ordures que vous dites.",Hélas ! est-il nécessaire de vous les marquer ?
42,"Oui : je vous demande seulement un endroit, qui vous ait fort choquée.","En faut-il d’autre que la scène de cette Agnès, lorsqu’elle dit ce que l’on lui a pris ?"
43,"Eh bien, que trouvez-vous là de sale ?",Ah !
44,De grâce ?,Fi.
45,Mais encore ?,Je n’ai rien à vous dire.
46,"Pour moi, je n’y entends point de mal.",Tant pis pour vous.
47,"Tant mieux plutôt, ce me semble. Je regarde les choses du côté qu’on me les montre ; et ne les tourne point, pour y chercher ce qu’il ne faut pas voir.",L’honnêteté d’une femme…
48,"L’honnêteté d’une femme n’est pas dans les grimaces. Il sied mal de vouloir être plus sage, que celles qui sont sages. L’affectation en cette matière est pire qu’en toute autre ; et je ne vois rien de si ridicule, que cette délicatesse d’honneur, qui prend tout en mauvaise part ; donne un sens criminel aux plus innocentes paroles ; et s’offense de l’ombre des choses. Croyez-moi, celles qui font tant de façons, n’en sont pas estimées plus femmes de bien. Au contraire, leur sévérité mystérieuse, et leurs grimaces affectées irritent la censure de tout le monde, contre les actions de leur vie. On est ravi de découvrir ce qu’il y peut avoir à redire ; et pour tomber dans l’exemple, il y avait l’autre jour des Femmes à cette Comédie, vis-à-vis de la Loge où nous étions, qui par les mines qu’elles affectèrent durant toute la Pièce ; leurs détournements de tête ; et leurs cachements de visage, firent dire de tous côtés cent sottises de leur conduite, que l’on n’aurait pas dites sans cela ; et quelqu’un même des Laquais cria tout haut, qu’elles étaient plus chastes des oreilles que de tout le reste du corps.","Enfin il faut être aveugle dans cette Pièce, et ne pas faire semblant d’y voir les choses."
49,Il ne faut pas y vouloir voir ce qui n’y est pas.,"Ah ! je soutiens, encore un coup, que les saletés y crèvent les yeux."
50,"Et moi, je ne demeure pas d’accord de cela.",Quoi la pudeur n’est pas visiblement blessée par ce que dit Agnès dans l’endroit dont nous parlons ?
51,"Non vraiment. Elle ne dit pas un mot, qui de soi ne soit fort honnête ; et si vous voulez entendre dessous quelque autre chose, c’est vous qui faites l’ordure, et non pas elle ; puisqu’elle parle seulement d’un ruban qu’on lui a pris.","Ah ! ruban, tant qu’il vous plaira ; mais ce "
52,"Il est vrai, ma cousine ; je suis pour Madame contre ce ",Il a une obscénité qui n’est pas supportable.
53,"Comment dites-vous ce mot-là, Madame ?",
54,Ah ! mon Dieu ! ,"Enfin vous voyez, comme votre sang prend mon parti."
