,Speaker 1,Speaker 2
0,"Par grâce & privilège du Roy, donné à Paris le dernier jour de septembre 1668. Signé pour le Roy en son Conseil Guitonneau. Il est permis au Sieur de MOLIÈRE de faire imprimer, vendre & débiter une Comédie par lui composée intitulée George Dandin, ou le mary confondu, pendant sept années, et défenses sont faites à tous autres de l’imprimer, ni d’autre édition que celle de l’Exposant, ou de ceux qui auront droit de lui, à peine de trois mille livres d’amende, confiscation des exemplaires contrefaits, & de tous dépens, dommages, et intérêts, comme il est plus amplement porté par lesdites lettres.","Ledit Sieur de MOLIÈRE a cédé son droit de Privilège à JEAN RIBOU Marchand Libraire à Paris, suivant l’accord fait entre eux."
1,Registré sur le livre de la Communauté.,"Ah ! qu’une femme Demoiselle est une étrange affaire, et que mon mariage est une leçon bien parlante à tous les Paysans qui veulent s’élever au-dessus de leur condition, et s’allier comme j’ai fait à la maison d’un Gentilhomme. La noblesse de soi est bonne : c’est une chose considérable assurément, mais elle est accompagnée de tant de mauvaises circonstances, qu’il est très bon de ne s’y point frotter. Je suis devenu là-dessus savant à mes dépens, et connais le style des Nobles lorsqu’ils nous font nous autres entrer dans leur famille. L’alliance qu’ils font est petite avec nos personnes. C’est notre bien seul qu’ils épousent, et j’aurais bien mieux fait, tout riche que je suis, de m’allier en bonne et franche paysannerie, que de prendre une femme qui se tient au-dessus de moi, s’offense de porter mon nom, et pense qu’avec tout mon bien je n’ai pas assez acheté la qualité de son mari. George Dandin, George Dandin, vous avez fait une sottise la plus grande du monde. Ma maison m’est effroyable maintenant, et je n’y rentre point sans y trouver quelque chagrin."
2,Que diantre ce drôle-là vient-il faire chez moi ?,Voilà un homme qui me regarde.
3,Il ne me connaît pas.,Il se doute de quelque chose.
4,Ouais ! il a grand-peine à saluer.,J’ai peur qu’il n’aille dire qu’il m’a vu sortir de làdedans.
5,Bonjour.,Serviteur.
6,Vous n’êtes pas d’ici que je crois ?,"Non, je n’y suis venu que pour voir la Fête de demain."
7,"Hé dites-moi un peu, s’il vous plaît, vous venez de là-dedans.",Chut.
8,Comment ?,Paix.
9,Quoi donc ?,"Motus, il ne faut pas dire que vous m’ayez vu sortir de là."
10,Pourquoi ?,Mon Dieu parce.
11,Mais encore ?,Doucement. J’ai peur qu’on ne nous écoute.
12,"Point, point.","C’est que je viens de parler à la Maîtresse du logis de la part d’un certain Monsieur qui lui fait les doux yeux, et il ne faut pas qu’on sache cela. Entendez-vous ?"
13,Oui.,"Voilà la raison. On m’a enchargé de prendre garde que personne ne me vît, et je vous prie au moins de ne pas dire que vous m’ayez vu."
14,Je n’ai garde.,Je suis bien aise de faire les choses secrètement comme on m’a recommandé.
15,C’est bien fait.,"Le mari, à ce qu’ils disent, est un jaloux qui ne veut pas qu’on fasse l’amour à sa femme, et il ferait le diable à quatre si cela venait à ses oreilles. Vous comprenez bien."
16,Fort bien.,Il ne faut pas qu’il sache rien de tout ceci.
17,Sans doute.,On le veut tromper tout doucement. Vous entendez bien ?
