,Speaker 1,Speaker 2
0,"Mon Dieu, Éraste, gardons d’être surpris ; je tremble qu’on ne nous voie ensemble ; et tout serait perdu, après la défense que l’on m’a faite.","Je regarde de tous côtés, et je n’aperçois rien."
1,"Aie aussi l’œil au guet, Nérine, et prends bien garde qu’il ne vienne personne.","Reposez-vous sur moi, et dites hardiment ce que vous avez à vous dire."
2,"Avez-vous imaginé pour notre affaire quelque chose de favorable ? et croyez-vous, Éraste, pouvoir venir à bout de détourner ce fâcheux Mariage que mon Père s’est mis en tête ?",Au moins y travaillons-nous fortement ; et déjà nous avons préparé un bon nombre de Batteries pour renverser ce dessein ridicule.
3,"Par ma foi, voilà votre Père !",Ah séparons-nous vite.
4,"Non, non, non, ne bougez, je m’étais trompée.","Mon Dieu, Nérine, que tu es sotte, de nous donner de ces frayeurs !"
5,"Oui, belle Julie, nous avons dressé pour cela quantité de Machines, et nous ne feignons point de mettre tout en usage, sur la permission que vous m’avez donnée.Ne nous demandez point tous les ressorts que nous ferons jouer, vous en aurez le divertissement ; et comme aux Comédies, il est bon de vous laisser le plaisir de la surprise, et de ne vous avertir point de tout ce qu’on vous fera voir, c’est assez de vous dire que nous avons en main divers stratagèmes tous prêts à produire dans l’occasion, et que l’ingénieuse Nérine et l’adroit Sbrigani entreprennent l’affaire.","Assurément.Votre Père se moque-t-il de vouloir vous anger de son Avocat de Limoges, Monsieur de Pourceaugnac, qu’il n’a vu de sa vie, et qui vient par le Coche vous enlever à notre barbe ? Faut-il que trois ou quatre mille écus de plus, sur la parole de votre Oncle, lui fassent rejeter un Amant qui vous agrée ? Et une Personne comme vous, est-elle faite pour un Limosin ? S’il a envie de se marier, que ne prend-il une Limosine, et ne laisse-t-il en repos les Chrétiens ? Le seul nom de Monsieur de Pourceaugnac m’a mis dans une colère effroyable.J’enrage de Monsieur de Pourceaugnac.Quand il n’y aurait que ce nom-là, Monsieur de Pourceaugnac, j’y brûlerai mes Livres, ou je romprai ce Mariage, et vous ne serez point Madame de Pourceaugnac.Pourceaugnac ! cela se peut-il souffrir ? Non, Pourceaugnac est une chose que je ne saurais supporter, et nous lui jouerons tant de pièces, nous lui ferons tant de niches sur niches, que nous renverrons à Limoges Monsieur de Pourceaugnac."
6,"Voici notre subtil Napolitain, qui nous dira des nouvelles.","Monsieur, votre Homme arrive, je l’ai vu à trois lieues d’ici, où a couché le Coche ;
              et dans la Cuisine où il est descendu pour déjeuner, je l’ai étudié une bonne grosse
              demie heure, et je le sais déjà par cœur. Pour sa figure, je ne veux point vous en
              parler, vous verrez de quel air la Nature l’a dessinée, et si l’ajustement qui
              l’accompagne y répond comme il faut : mais pour son Esprit, je vous avertis par avance
              qu’il est des plus épais qui se fassent ; que nous trouvons en lui une matière tout à
              fait disposée pour ce que nous voulons, et qu’il est Homme enfin à donner dans tous
              les panneaux qu’on lui présentera."
7,Nous dis-tu vrai ?,"Oui, si je me connais en Gens."
8,"Madame, voilà un Illustre, votre affaire ne pouvait être mise en de meilleures mains,
              et c’est le Héros de notre Siècle pour les exploits dont il s’agit : Un Homme qui
              vingt fois en sa vie pour servir ses Amis, a généreusement affronté les Galères ; qui
              au péril de ses bras et de ses épaules, sait mettre noblement à fin les aventures les
              plus difficiles ; et qui, tel que vous le voyez, est exilé de son Pays pour je ne sais
              combien d’actions honorables qu’il a généreusement entreprises.","Je suis confus des louanges dont vous m’honorez, et je pourrais vous en donner avec
              plus de justice sur les merveilles de votre vie ; et principalement sur la gloire que
              vous acquîtes, lorsqu’avec tant d’honnêteté vous pipâtes au jeu, pour douze mille
              écus, ce jeune Seigneur étranger que l’on mena chez vous ; lorsque vous fîtes
              galamment ce faux Contrat qui ruina toute une Famille ; lorsque avec tant de grandeur
              d’âme vous sûtes nier le dépôt qu’on vous avait confié ; et que si généreusement on
              vous vit prêter votre témoignage à faire pendre ces deux Personnes qui ne l’avaient
              pas mérité."
9,"Ce sont petites bagatelles qui ne valent pas qu’on en parle, et vos éloges me font
              rougir.","Je veux bien épargner votre modestie ; laissons cela ; et pour commencer notre
              affaire, allons vite joindre notre Provincial, tandis que de votre côté vous nous
              tiendrez prêts au besoin les autres Acteurs de la Comédie."
