"vents, qui troublez les plus beaux jours, rentrez dans vos grottes profondes ;","quels beaux yeux ont percé nos demeures humides ? venez, venez tritons, cachez-vous néréides."
"et laissez régner sur les ondes les zéphyrs et les amours.","quels beaux yeux ont percé nos demeures humides ? venez, venez tritons, cachez-vous néréides."
"allons tous au-devant de ces divinités, et rendons par nos chants hommage à leurs beautés.","ah que ces princesses sont belles !"
"quels sont les cœurs qui ne s'y rendraient pas ?","la plus belle des immortelles, notre mère, a bien moins d'appâts."
"allons tous au-devant de ces divinités, et rendons par nos chants hommage à leurs beautés.","quel noble spectacle s'avance ! neptune, le grand dieu, neptune avec sa cour"
"allons tous au-devant de ces divinités, et rendons par nos chants hommage à leurs beautés.","vient honorer ce beau jour de son auguste présence."
"redoublons nos concerts, et faisons retentir dans le vague des airs","il est attaché à ses pensées ?"
"notre réjouissance. pour le roi, représentant neptune.","il est attaché à ses pensées ?"
"le ciel entre les dieux les plus considérés me donne pour partage un rang considérable,","il est attaché à ses pensées ?"
"et me faisant régner sur les flots azurés, rend à tout l'univers mon pouvoir redoutable.","il est attaché à ses pensées ?"
"il n'est aucune terre, à me bien regarder qui ne doive trembler que je ne m'y répande ;","il est attaché à ses pensées ?"
"point d'états qu'à l'instant je ne pusse inonder des flots impétueux que mon pouvoir commande.","il est attaché à ses pensées ?"
"rien n'en peut arrêter le fier débordement, et d'une triple digue à leur force opposée","il est attaché à ses pensées ?"
"on les verrait forcer le ferme empêchement, et se faire en tous lieux une ouverture aisée.","il est attaché à ses pensées ?"
"mais je sais retenir la fureur de ces flots par la sage équité du pouvoir que j'exerce,","il est attaché à ses pensées ?"
"et laisser en tous lieux, au gré des matelots la douce liberté d'un paisible commerce.","il est attaché à ses pensées ?"
"on trouve des écueils parfois dans mes états, on voit quelques vaisseaux y périr par l'orage :","il est attaché à ses pensées ?"
"mais contre ma puissance on n'en murmure pas, et chez moi la vertu ne fait jamais naufrage.","il est attaché à ses pensées ?"
"pour m. le grand, représentant un dieu marin l'empire où nous vivons, est fertile en trésors,","il est attaché à ses pensées ?"
