"quittons, quittons notre vaine querelle, ne nous disputons point nos talents tour à tour.","unissons-nous…"
"et d'une gloire plus belle, piquons-nous en ce jour.","unissons-nous…"
"unissons-nous tous trois d'une ardeur sans seconde, pour donner du plaisir au plus grand roi du monde.","unissons-nous…"
"de ses travaux plus grands qu'on ne peut croire, il se vient quelquefois délasser parmi nous.","unissons-nous…"
"est-il de plus grande gloire est-il bonheur plus doux.","unissons-nous…"
"unissons-nous tous trois…","unissons-nous…"
"ah l'étrange chose que la vie !  et que je puis bien dire avec ce grand philosophe de l'antiquité que qui terre a guerre a  et qu'un malheur ne vient ja mais sans l'autre.","et combien donc en voulez-vous avoir ?"
"elle est morte monsieur mon ami cette perte m'est très sensible  et je ne puis m'en ressouvenir sans pleurer. je n'étais pas fort satisfait de sa conduite","pour moi je tiens que la braverie  et l'ajustement est la chose qui réjouit le plus les filles   et si j'étais que de vous je lui achèterais dès aujourd'hui une belle garniture de diamants"
" et nous avions le plus souvent dispute ensemble   mais enfin la mort rajuste toutes choses. elle est morte : je la pleure.","pour moi je tiens que la braverie  et l'ajustement est la chose qui réjouit le plus les filles   et si j'étais que de vous je lui achèterais dès aujourd'hui une belle garniture de diamants"
"si elle était en vie nous nous querellerions. de tous les enfants que le ciel m'avait donnés il ne m'a laissé qu'une fille  et cette fille est toute ma peine.","pour moi je tiens que la braverie  et l'ajustement est la chose qui réjouit le plus les filles   et si j'étais que de vous je lui achèterais dès aujourd'hui une belle garniture de diamants"
"car enfin je la vois dans une mélancolie la plus sombre du monde dans une tristesse épouvantable dont il n'y a pas moyen de la retirer ","pour moi je tiens que la braverie  et l'ajustement est la chose qui réjouit le plus les filles   et si j'étais que de vous je lui achèterais dès aujourd'hui une belle garniture de diamants"
" et dont je ne saurais même apprendre la cause. pour moi j'en perds l'esprit  et j'aurais besoin d'un bon conseil sur cette matière. vous êtes ma nièce :","pour moi je tiens que la braverie  et l'ajustement est la chose qui réjouit le plus les filles   et si j'étais que de vous je lui achèterais dès aujourd'hui une belle garniture de diamants"
"vous ma voisine  et vous mes compères  et mes amis : je vous prie de me conseiller tous ce que je dois faire.","pour moi je tiens que la braverie  et l'ajustement est la chose qui réjouit le plus les filles   et si j'étais que de vous je lui achèterais dès aujourd'hui une belle garniture de diamants"
" et moi  si j'étais en votre place j'achèterais une belle tenture de tapisserie de verdure ou à personnages que je ferais mettre à sa chambre pour lui réjouir l'esprit ","pour moi je ne ferais point tant de façon  et je la marierais fort bien  et le plus tôt que je pourrais avec cette personne qui vous la fit"
" et moi je tiens que votre fille n'est point du tout propre pour le mariage. elle est d'une complexion trop délicate et trop peu saine  et c'est la vouloir envoyer bientôt en l'autre monde","tous ces conseils sont admirables assurément :  mais je les tiens un peu intéressés  et trouve que vous me conseillez fort bien pour vous. vous êtes orfèvre"
"que de l'exposer comme elle est à faire des enfants. le monde n'est point du tout son fait  et je vous conseille de la mettre dans un couvent où elle trouvera des divertissements qui seront mieux de son humeur.","monsieur josse  et votre conseil sent son homme qui a envie de se défaire de sa marchandise. vous vendez des tapisseries monsieur guillaume  et vous avez la mine d'avoir quelque tenture qui vous incommode."
" et moi je tiens que votre fille n'est point du tout propre pour le mariage. elle est d'une complexion trop délicate et trop peu saine  et c'est la vouloir envoyer bientôt en l'autre monde","celui que vous aimez ma voisine a dit-on quelque inclination pour ma fille  et vous ne seriez pas fâchée de la voir la femme d'un autre."
"que de l'exposer comme elle est à faire des enfants. le monde n'est point du tout son fait  et je vous conseille de la mettre dans un couvent où elle trouvera des divertissements qui seront mieux de son humeur."," et quant à vous ma chère nièce ce n'est pas mon dessein comme on sait de marier ma fille avec qui que ce soit  et j'ai mes raisons pour cela."
" et moi je tiens que votre fille n'est point du tout propre pour le mariage. elle est d'une complexion trop délicate et trop peu saine  et c'est la vouloir envoyer bientôt en l'autre monde"," mais le conseil que vous me donnez de la faire religieuse est d'une femme qui pourrait bien souhaiter charitablement d'être mon héritière universelle. ainsi messieurs  et mesdames quoique tous vos conseils soient les meilleurs du monde"
"que de l'exposer comme elle est à faire des enfants. le monde n'est point du tout son fait  et je vous conseille de la mettre dans un couvent où elle trouvera des divertissements qui seront mieux de son humeur.","vous trouverez bon s'il vous plaît que je n'en suive aucun. voilà de mes donneurs de conseils à la mode."
"ah voilà ma fille qui prend l'air. elle ne me voit pas. elle soupire. elle lève les yeux au ciel. dieu vous garde. bonjour ma mie. hé bien","hé bien, monsieur, vous venez d'entretenir votre fille. avez-vous su la cause de sa mélancolie ?"
