Input,Target
"vents, qui troublez les plus beaux jours, rentrez dans vos grottes profondes ;","quels beaux yeux ont percé nos demeures humides ? venez, venez tritons, cachez-vous néréides."
"et laissez régner sur les ondes les zéphyrs et les amours.","quels beaux yeux ont percé nos demeures humides ? venez, venez tritons, cachez-vous néréides."
"allons tous au-devant de ces divinités, et rendons par nos chants hommage à leurs beautés.","ah que ces princesses sont belles !"
"quels sont les cœurs qui ne s'y rendraient pas ?","la plus belle des immortelles, notre mère, a bien moins d'appâts."
"allons tous au-devant de ces divinités, et rendons par nos chants hommage à leurs beautés.","quel noble spectacle s'avance ! neptune, le grand dieu, neptune avec sa cour"
"allons tous au-devant de ces divinités, et rendons par nos chants hommage à leurs beautés.","vient honorer ce beau jour de son auguste présence."
"redoublons nos concerts, et faisons retentir dans le vague des airs","il est attaché à ses pensées ?"
"notre réjouissance. pour le roi, représentant neptune.","il est attaché à ses pensées ?"
"le ciel entre les dieux les plus considérés me donne pour partage un rang considérable,","il est attaché à ses pensées ?"
"et me faisant régner sur les flots azurés, rend à tout l'univers mon pouvoir redoutable.","il est attaché à ses pensées ?"
"il n'est aucune terre, à me bien regarder qui ne doive trembler que je ne m'y répande ;","il est attaché à ses pensées ?"
"point d'états qu'à l'instant je ne pusse inonder des flots impétueux que mon pouvoir commande.","il est attaché à ses pensées ?"
"rien n'en peut arrêter le fier débordement, et d'une triple digue à leur force opposée","il est attaché à ses pensées ?"
"on les verrait forcer le ferme empêchement, et se faire en tous lieux une ouverture aisée.","il est attaché à ses pensées ?"
"mais je sais retenir la fureur de ces flots par la sage équité du pouvoir que j'exerce,","il est attaché à ses pensées ?"
"et laisser en tous lieux, au gré des matelots la douce liberté d'un paisible commerce.","il est attaché à ses pensées ?"
"on trouve des écueils parfois dans mes états, on voit quelques vaisseaux y périr par l'orage :","il est attaché à ses pensées ?"
"mais contre ma puissance on n'en murmure pas, et chez moi la vertu ne fait jamais naufrage.","il est attaché à ses pensées ?"
"pour m. le grand, représentant un dieu marin l'empire où nous vivons, est fertile en trésors,","il est attaché à ses pensées ?"
"tous les mortels en foule accourent sur ses bords, et pour faire bientôt une haute fortune,","il est attaché à ses pensées ?"
"il ne faut rien qu'avoir la faveur de *neptune*. pour le marquis de villeroy, représentant un dieu marin","il est attaché à ses pensées ?"
"sur la foi de ce dieu de l'empire flottant on peut bien s'embarquer avec toute assurance ;","il est attaché à ses pensées ?"
"les flots ont de l'inconstance ; mais le *neptune* est constant.","il est attaché à ses pensées ?"
"pour le marquis de rassent, représentant un dieu marin. voguez sur cette mer d'un zèle inébranlable,","il est attaché à ses pensées ?"
"c'est le moyen d'avoir *neptune* favorable.","il est attaché à ses pensées ?"
"non sostrate je ne vois rien où tu puisses avoir recours  et tes maux sont d'une nature à ne te laisser nulle espérance d'en sortir.","il raisonne tout seul."
"hélas !","voilà des soupirs qui veulent dire quelque chose, et ma conjecture se trouvera véritable."
"sur quelles chimères dis-moi pourrais-tu bâtir quelque espoir  et que peux-tu envisager que l'affreuse longueur d'une vie malheureuse","cette tête-là est plus embarrassée que la mienne ?"
"ah ! mon cœur, ah ! mon cœur, où m'avez-vous jeté ?","serviteur, seigneur sostrate."
"où vas-tu, clitidas ?"," mais vous plutôt que faites-vous ici  et quelle secrète mélancolie quelle humeur sombre s'il vous plaît vous peut retenir dans ces bois"
"où vas-tu, clitidas ?","tandis que tout le monde a couru en foule à la magnificence de la fête dont l'amour du prince iphicrate vient de régaler sur la mer la promenade des princesses"
"où vas-tu, clitidas ?","tandis qu'elles y ont reçu des cadeaux merveilleux de musique  et de danse  et qu'on a vu les rochers  et les ondes se parer de divinités pour faire honneur à leurs attraits ?"
"je me figure assez sans la voir cette magnificence  et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de fêtes que j'ai cru à propos de ne pas augmenter le nombre des importuns.","vous savez que votre présence ne gâte ja mais rien  et que vous n'êtes point de trop en quelque lieu que vous soyez. votre visage est bien venu partout  et il n'a garde d'être de ces visages disgraciés"
"je me figure assez sans la voir cette magnificence  et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de fêtes que j'ai cru à propos de ne pas augmenter le nombre des importuns.","qui ne sont ja mais bien reçus des regards souverains. vous êtes également bien auprès des deux princesses   et la mère  et la fille vous font assez connaître l'estime qu'elles font de vous pour n'appréhender pas de fatiguer leurs yeux "
"j'avoue que je n'ai pas naturellement grande curiosité pour ces sortes de choses.","mon dieu ! quand on n'aurait nulle curiosité pour les choses on en a toujours pour aller où l'on trouve tout le monde  et quoi que vous puissiez dire on ne demeure point tout seul pendant une fête à rêver parmi des arbres comme vous faites"
