"quoi, cousine, personne ne t'est venu rendre visite ?","personne du monde."
"vraiment voilà qui m'étonne, que nous ayons été seules, l'une et l'autre, tout aujourd'hui.","cela m'étonne aussi car ce n'est guère notre coutume  et votre maison dieu merci est le refuge ordinaire de tous les fainéants de la cour."
"l'après-dînée, à dire vrai, m'a semblé fort longue.","et moi je l'ai trouvée fort courte."
"c'est que les beaux esprits, cousine, aiment la solitude.","ah ! très humble servante au bel esprit, vous savez que ce n'est pas là que je vise."
"pour moi j'aime la compagnie, je l'avoue.","je l'aime aussi  mais je l'aime choisie  et la quantité des sottes visites qu'il vous faut essuyer parmi les autres"
"la délicatesse est trop grande, de ne pouvoir souffrir que des gens triés.","et la complaisance est trop générale, de souffrir indifféremment toutes sortes de personnes."
"je goûte ceux qui sont raisonnables, et me divertis des extravagants.","ma foi les extravagants ne vont guère loin sans vous ennuyer  et la plupart de ces gens-là ne sont plus plaisants dès la seconde visite."
"je goûte ceux qui sont raisonnables, et me divertis des extravagants."," mais à propos d'extravagants ne voulez-vous pas me défaire de votre marquis incommode ? pensez-vous me le laisser toujours sur les bras  et que je puisse durer à ses turlupinades perpétuelles ?"
"ce langage est à la mode, et l'on le tourne en plaisanterie à la cour.","tant pis pour ceux qui le font  et qui se tuent tout le jour à parler ce jargon obscur. la belle chose de faire entrer aux conversations du louvre de vieilles équivoques ramassées parmi les boues des halles"
"ce langage est à la mode, et l'on le tourne en plaisanterie à la cour.","et de la place maubert ! la jolie façon de plaisanter pour des courtisans !  et qu'un homme montre d'esprit lorsqu'il vient vous dire ;* madame"
"ce langage est à la mode, et l'on le tourne en plaisanterie à la cour.","vous êtes dans la place royale  et tout le monde vous voit de trois lieues de paris car chacun vous voit de bon œil,* à cause que boneuil est un village à trois lieues d'ici."
"ce langage est à la mode, et l'on le tourne en plaisanterie à la cour.","cela n'est-il pas bien galant et bien spirituel   et ceux qui trouvent ces belles rencontres"
"on ne dit pas cela aussi comme une chose spirituelle  et la plupart de ceux qui affectent ce langage","tant pis encore de prendre peine à dire des sottises  et d'être mauvais plaisants de dessein formé. je les en tiens moins excusables et si j'en étais juge je sais bien à quoi je condamnerais tous ces messieurs les turlupins."
