"ah fâcheuses nouvelles pour un cœur amoureux !dures extrémités où je me vois réduit !tu viens","oui."
"qu'il arrive ce matin même ?","ce matin même."
"et qu'il revient dans la résolution de me marier ?","oui."
"avec une fille du seigneur géronte ?","du seigneur géronte."
"et que cette fille est mandée de tarente ici pour cela ?","oui."
"et tu tiens ces nouvelles de mon oncle ?","de votre oncle."
"à qui mon père les a mandées par une lettre ?","par une lettre."
"et cet oncle, dis-tu, sait toutes nos affaires.","toutes nos affaires."
"ah parle, si tu veux, et ne te fais point de la sorte, arracher les mots de la bouche.","qu'ai-je à parler davantage ! vous n'oubliez aucune circonstance"
"conseille-moi, du moins, et me dis ce que je dois faire dans ces cruelles conjonctures.","ma foi, je m'y trouve autant embarrassé que vous, et j'aurais bon besoin que l'on me conseillât moi-même."
"je suis assassiné par ce maudit retour.","je ne le suis pas moins."
"lorsque mon père apprendra les choses, je vais voir fondre sur moi un orage soudain d'impétueuses réprimandes.","les réprimandes ne sont rien  et plût au ciel que j'en fusse quitte à ce prix ! mais j'ai bien la mine pour moi de payer plus cher vos folies"
"lorsque mon père apprendra les choses, je vais voir fondre sur moi un orage soudain d'impétueuses réprimandes."," et je vois se former de loin un nuage de coups de bâton qui crèvera sur mes épaules."
"ô ciel ! par où sortir de l'embarras où je me trouve ?","c'est à quoi vous deviez songer, avant que de vous y jeter."
"ah tu me fais mourir, par tes leçons hors de saison.","vous me faites bien plus mourir, par vos actions étourdies."
"que dois-je faire ?quelle résolution prendre ?à quel remède recourir ?","qu'est-ce, seigneur octave, qu'avez-vous ?qu'y a-t-il ?quel désordre est-ce là ?je vous vois tout troublé."
"ah, mon pauvre scapin, je suis perdu ; je suis désespéré ; je suis le plus infortuné de tous les hommes.","comment ?"
"n'as-tu rien appris de ce qui me regarde ?","non."
"mon père arrive avec le seigneur géronte, et ils me veulent marier.","hé bien, qu'y a-t-il là de si funeste ?"
"hélas ! tu ne sais pas la cause de mon inquiétude.","non  mais il ne tiendra qu'à vous que je ne la sache bientôt   et je suis homme consolatif homme à m'intéresser aux affaires des jeunes gens."
"ah ! scapin si tu pouvais trouver quelque invention forger quelque machine pour me tirer de la peine où je suis je croirais t'être redevable de plus que de la vie.","à vous dire la vérité il y a peu de choses qui me soient impossibles quand je m'en veux mêler.j'ai sans doute reçu du ciel un génie assez beau pour toutes les fabriques de ces gentillesses d'esprit"
"ah ! scapin si tu pouvais trouver quelque invention forger quelque machine pour me tirer de la peine où je suis je croirais t'être redevable de plus que de la vie.","de ces galanteries ingénieuses à qui le vulgaire ignorant donne le nom de fourberies  et je puis dire sans vanité qu'on n'a guère vu d'homme qui fût plus habile ouvrier de ressorts "
"ah ! scapin si tu pouvais trouver quelque invention forger quelque machine pour me tirer de la peine où je suis je croirais t'être redevable de plus que de la vie.","et d'intrigues qui ait acquis plus de gloire que moi dans ce noble métier : mais ma foi le mérite est trop maltraité aujourd'hui  et j'ai renoncé à toutes choses depuis certain chagrin d'une affaire qui m'arriva."
"comment ?quelle affaire, scapin ?","une aventure où je me brouillai avec la justice."
"la justice !","oui, nous eûmes un petit démêlé ensemble."
"toi, et la justice ?","oui.elle en usa fort mal avec moi  et je me dépitai de telle sorte contre l'ingratitude du siècle que je résolus de ne plus rien faire.baste.ne laissez pas de me conter votre aventure."
"tu sais scapin qu'il y a deux mois que le seigneur géronte  et mon père s'embarquèrent ensemble pour un voyage qui regarde certain commerce où leurs intérêts sont mêlés.","je sais cela."
" et que léandre  et moi nous fûmes laissés par nos pères  moi sous la conduite de silvestre ","oui, je me suis fort bien acquitté de ma charge."
"quelque temps après, léandre fit rencontre d'une jeune égyptienne dont il devint amoureux.","je sais cela encore."
"comme nous sommes grands amis il me fit aussitôt confidence de son amour  et me mena voir cette fille que je trouvai belle à la vérité","je ne vois pas encore où ceci veut aller."
" mais non pas tant qu'il voulait que je la trouvasse.il ne m'entretenait que d'elle chaque jour  m'exagérait à tous moments sa beauté  et sa grâce  me louait son esprit","je ne vois pas encore où ceci veut aller."
" et me parlait avec transport des charmes de son entretien dont il me rapportait jusqu'aux moindres paroles qu'il s'efforçait toujours de me faire trouver les plus spirituelles du monde.il me querellait quelquefois de n'être pas assez sensible aux choses qu'il me venait dire","je ne vois pas encore où ceci veut aller."
" et me blâmait sans cesse de l'indifférence où j'étais pour les feux de l'amour.","je ne vois pas encore où ceci veut aller."
"un jour que je l'accompagnais pour aller chez les gens qui gardent l'obj et de ses vœux nous entendîmes dans une petite maison d'une rue écartée","où est-ce que cela nous mène ?"
"quelques plaintes mêlées de beaucoup de sanglots.nous demandons ce que c'est.une femme nous dit en soupirant que nous pouvions voir là quelque chose de pitoyable en des personnes étrangères","où est-ce que cela nous mène ?"
" et qu'à moins que d'être insensibles nous en serions touchés.","où est-ce que cela nous mène ?"
"la curiosité me fit presser léandre de voir ce que c'était.nous entrons dans une salle où nous voyons une vieille femme mourante assistée d'une servante qui faisait des regrets","ah, ah."
" et d'une jeune fille toute fondante en larmes la plus belle ","ah, ah."
"un autre aurait paru effroyable en l'état où elle était car elle n'avait pour habillement qu'une méchante petite jupe avec des brassières de nuit qui étaient de simple futaine  et sa coiffure était une cornette jaune","je sens venir les choses."
"retroussée au haut de sa tête qui laissait tomber en désordre ses cheveux sur ses épaules   et cependant faite comme cela elle brillait de mille attraits","je sens venir les choses."
" et ce n'était qu'agréments  et que charmes que toute sa personne.","je sens venir les choses."
"si tu l'avais vue, scapin, en l'état que je dis, tu l'aurais trouvée admirable.","oh je n'en doute point ; et sans l'avoir vue, je vois bien qu'elle était tout à fait charmante."
"ses larmes n'étaient point de ces larmes désagréables qui défigurent un visage  elle avait à pleurer une grâce touchante   et sa douleur était la plus belle du monde.","je vois tout cela."
"elle faisait fondre chacun en larmes en se jetant amoureusement sur le corps de cette mourante qu'elle appelait sa chère mère  et il n'y avait personne qui n'eût l'âme percée","en effet, cela est touchant ; et je vois bien que ce bon naturel-là vous la fit aimer."
"ah ! scapin, un barbare l'aurait aimée.","assurément.le moyen de s'en empêcher ?"
"après quelques paroles dont je tâchai d'adoucir la douleur de cette charmante affligée nous sortîmes de là  et demandant à léandre ce qu'il lui semblait de cette personne","si vous n'abrégez ce récit nous en voilà pour jusqu'à demain.laissez-le-moi finir en deux mots.son cœur prend feu dès ce moment.il ne saurait plus vivre qu'il n'aille consoler son aimable affligée.ses fréquentes visites sont rejetées de la servante"
"il me répondit froidement qu'il la trouvait assez jolie.je fus piqué de la froideur avec laquelle il m'en parlait  et je ne voulus point lui découvrir l'eff et que ses beautés avaient fait sur mon âme.","devenue la gouvernante par le trépas de la mère voilà mon homme au désespoir.il presse supplie conjure  point d'affaire.on lui dit que la fille quoique sans bien"
"après quelques paroles dont je tâchai d'adoucir la douleur de cette charmante affligée nous sortîmes de là  et demandant à léandre ce qu'il lui semblait de cette personne"," et sans appui est de famille honnête   et qu'à moins que de l'épouser on ne peut souffrir ses poursuites.voilà son amour augmenté par les difficultés.il consulte dans sa tête"
"il me répondit froidement qu'il la trouvait assez jolie.je fus piqué de la froideur avec laquelle il m'en parlait  et je ne voulus point lui découvrir l'eff et que ses beautés avaient fait sur mon âme.","agite raisonne balance prend sa résolution  le voilà marié avec elle depuis trois jours."
"j'entends.","maintenant mets avec cela le retour imprévu du père qu'on n'attendait que dans deux mois  la découverte que l'oncle a faite du secr et de notre mariage"
"j'entends."," et l'autre mariage qu'on veut faire de lui avec la fille que le seigneur géronte a eue d'une seconde femme qu'on dit qu'il a épousée à tarente."
" et par-dessus tout cela mets encore l'indigence où se trouve cette aimable personne","est-ce là tout ?vous voilà bien embarrassés tous deux pour une bagatelle.c'est bien là de quoi se tant alarmer.n'as-tu point de honte toi de demeurer court à si peu de chose ?que diable te voilà grand "
" et par-dessus tout cela mets encore l'indigence où se trouve cette aimable personne","et gros comme père et mère  et tu ne saurais trouver dans ta tête forger dans ton esprit quelque ruse galante quelque honnête petit stratagème"
" et par-dessus tout cela mets encore l'indigence où se trouve cette aimable personne","pour ajuster vos affaires ?fi.peste soit du butor.je voudrais bien que l'on m'eût donné autrefois nos vieillards à duper je les aurais joués tous deux par-dessous la jambe  et je n'étais pas plus grand que cela"
"j'avoue que le ciel ne m'a pas donné tes talents  et que je n'ai pas l'esprit comme toi","voici mon aimable hyacinte."
"ah octave est-il vrai ce que silvestre vient de dire à nérine ?que votre père est de retour","oui belle hyacinte  et ces nouvelles m'ont donné une atteinte cruelle. mais que vois-je ? vous pleurez !pourquoi ces larmes ?me soupçonnez-vous"
"ah octave est-il vrai ce que silvestre vient de dire à nérine ?que votre père est de retour","dites-moi de quelque infidélité  et n'êtes-vous pas assurée de l'amour que j'ai pour vous ?"
"oui, octave, je suis sûre que vous m'aimez ; mais je ne le suis pas que vous m'aimiez toujours.","eh peut-on vous aimer, qu'on ne vous aime toute sa vie ?"
