"quand la neige fondue enfle un torrent fameux, contre l'effort soudain de ses flots écumeux","le foudre menaçant qui perce avec fureur l'affreuse obscurité de la nue enflammée,"
"il n'est rien d'assez solide; digues, châteaux, villes, et bois,","fait d'épouvante et d'horreur trembler le plus ferme cœur:"
"hommes, et troupeaux à la fois, tout cède au courant qui le guide,","mais à la tête d'une armée les bergers et bergères du côté de dorilas, font de même que les autres."
"tel, et plus fier et plus rapide, les bergers et bergères du côté de tircis dansent autour de lui sur une ritournelle","le foudre menaçant qui perce avec fureur l'affreuse obscurité de la nue enflammée,"
"des fabuleux exploits que la grèce a chantés, par un brillant amas de belles vérités","*louis* fait à nos temps par ses faits inouïs croire tous les beaux faits que nous chante l'histoire"
"nous voyons la gloire effacée, et tous ces fameux demi-dieux,","des siècles évanouis : mais nos neveux dans leur gloire,"
"que vante l'histoire passée ne sont point à notre pensée,","n'auront rien qui fasse croire les bergères de son côté font encore de même, après quoi les deux partis se mêlent."
"les bergers et bergères de son côté, font encore la même chose.","*louis* fait à nos temps par ses faits inouïs croire tous les beaux faits que nous chante l'histoire"
"laissez, laissez, bergers, ce dessein téméraire, hé, que voulez-vous faire ?","laissons, laissons là sa gloire ne songeons qu'à ses plaisirs."
"chanter sur vos chalumeaux, ce qu'apollon sur sa lyre","laissons, laissons là sa gloire ne songeons qu'à ses plaisirs."
"avec ses chants les plus beaux, n'entreprendrait pas de dire?","laissons, laissons là sa gloire ne songeons qu'à ses plaisirs."
"c'est donner trop d'essor au feu qui vous inspire, c'est monter vers les cieux sur des ailes de cire,","laissons, laissons là sa gloire ne songeons qu'à ses plaisirs."
"pour tomber dans le fonds des eaux. pour chanter de *louis* l'intrépide courage;","laissons, laissons là sa gloire ne songeons qu'à ses plaisirs."
"il n'est point d'assez docte voix, point de mots assez grands pour en tracer l'image;","laissons, laissons là sa gloire ne songeons qu'à ses plaisirs."
"le silence est le langage qui doit louer ses exploits.","laissons, laissons là sa gloire ne songeons qu'à ses plaisirs."
"consacrez d'autres soins à sa pleine victoire, des louanges n'ont rien qui flatte ses désirs,","laissons, laissons là sa gloire ne songeons qu'à ses plaisirs."
"laissez, laissez là sa gloire ne songez qu'à ses plaisirs.","laissons, laissons là sa gloire ne songeons qu'à ses plaisirs."
"bien que pour étaler ses vertus immortelles la force manque à vos esprits.","dans les choses grandes et belles il suffit d'avoir entrepris."
"ne laissez pas tous deux de recevoir le prix. dans les choses grandes et belles","dans les choses grandes et belles il suffit d'avoir entrepris."
"les deux zéphyrs dansent avec deux couronnes de fleurs à la main, qu'ils viennent donner ensuite aux deux bergers.","dans les choses grandes et belles il suffit d'avoir entrepris."
"ha ! que d'un doux succès notre audace est suivie.","ce qu'on fait pour *louis*, on ne le perd jamais."
"au soin de ses plaisirs donnons-nous désormais.","heureux, heureux, qui peut lui consacrer sa vie."
"joignons tous dans ces bois. nos flûtes et nos voix,","trois et deux font cinq  et cinq font dix  et dix font vingt. trois et deux font cinq. plus du vingt-quatrième un petit clystère insinuatif"
"ce jour nous y convie, et faisons aux échos redire mille fois,","préparatif  et rémolliant pour amollir humecter  et rafraîchir les entrailles de monsieur trente sols. ce qui me plaît de monsieur fleurant mon apothicaire"
"*louis* est le plus grand des rois. faunes bergers  et bergères tous se mêlent  et il se fait entre eux des jeux de danse","c'est que ses parties sont toujours fort civiles. les entrailles de monsieur trente sols ! oui :  mais monsieur fleurant ce n'est pas tout que d'être civil"
"votre plus haut savoir n'est que pure chimère, vains et peu sages médecins,","il faut être aussi raisonnable  et ne pas écorcher les malades. trente sols un lavement ? je suis votre serviteur je vous l'ai déjà dit."
"vous ne pouvez guérir par vos grands mots latins la douleur qui me désespère.","vous ne me les avez mis dans les autres parties qu'à vingt sols  et vingt sols en langage d'apothicaire c'est à dire dix sols."
"votre plus haut savoir n'est que pure chimère. hélas! hélas! je n'ose découvrir","les voilà. plus dudit jour un bon clystère détersif composé avec catholicon double rhubarbe miel rosat  et autres suivant l'ordonnance pour balayer"
"mon amoureux martyre, au berger pour qui je soupire,","laver  et nettoyer le bas ventre de monsieur trente sols. avec votre permission dix sols. plus dudit jour le soir un julep hépatique soporatif "
"et qui seul peut me secourir. ne prétendez pas le finir,","et somnifère composé pour faire dormir monsieur trente cinq sols. je ne me plains pas de celui-là car il me fit bien dormir. dix"
"ignorants médecins, vous ne sauriez le faire, votre plus haut savoir n'est que pure chimère.","quinze seize  et dix-sept sols six deniers. plus du vingt-cinquième une bonne médecine purgative et corroborative composée de casse récente"
"ces remèdes peu sûrs, dont le simple vulgaire croit que vous connaissez l'admirable vertu,","avec séné levantin et autres suivant l'ordonnance de monsieur purgon pour expulser et évacuer la bile de monsieur quatre livres. ah !"
"pour les maux que je sens n'ont rien de salutaire, et tout votre caquet ne peut être reçu,","monsieur fleurant c'est se moquer il faut vivre avec les malades monsieur purgon ne vous a pas ordonné de mettre quatre livres."
"que d'un *malade imaginaire*. votre plus haut savoir n'est que pure chimère,","mettez mettez trois livres s'il vous plaît. vingt  et trente sols. plus dudit jour une potion anodine  et astringente pour faire reposer monsieur"
"vains et peu sages, etc. le théâtre change et représente une chambre.","trente sols. bon. dix  et quinze sols. plus du vingt-sixième un clystère carminatif pour chasser les vents de monsieur trente sols. dix sols monsieur fleurant."
"– argan, malade imaginaire. – béline, seconde femme d'argan.","plus le clystère de monsieur réitéré le soir comme dessus trente sols. monsieur fleurant dix sols. plus du vingt-septième une bonne médecine composée pour hâter d'aller "
"– angélique, fille d'argan et amante de cléante. – louison, petite fille d'argan, et sœur d'angélique.","et chasser dehors les mauvaises humeurs de monsieur trois livres. bon. vingt  et trente sols. je suis bien aise que vous soyez raisonnable."
"– béralde, frère d'argan. – cléante, amant d'angélique.","plus du vingt-huitième une prise de petit lait clarifié  et dulcoré pour adoucir lénifier tempérer  et rafraîchir le sang de monsieur"
"– monsieur diafoirus, médecin. – thomas diafoirus, son fils, et amant d'angélique.","vingt sols. bon. dix sols. plus une potion cordiale  et préservative composée avec douze grains de bézoard sirops de limon  et grenade "
"– monsieur purgon, médecin d'argan. – monsieur fleurant, apothicaire.","et autres suivant l'ordonnance cinq livres. ah ! monsieur fleurant tout doux s'il vous plaît  si vous en usez comme cela on ne voudra plus être malade."
"– monsieur bonnefoy, notaire. – toinette, servante.","contentez-vous de quarante sols. vingt  et quarante sols. trois  et deux font cinq  et cinq font dix  et dix font vingt. soixante "
"– –","et trois livres quatre sols six deniers. si bien donc que de ce mois j'ai pris une deux trois quatre cinq six sept  et huit médecines   et un deux"
"– –","trois quatre cinq six sept huit neuf dix onze  et douze lavements   et l'autre mois il y avait douze médecines  et vingt lavements."
"la scène est à paris.","je ne m'étonne pas si je ne me porte pas si bien ce mois-ci que l'autre. je le dirai à monsieur purgon afin qu'il mette ordre à cela. allons"
"joignons tous dans ces bois. nos flûtes et nos voix,","qu'on m'ôte tout ceci. il n'y a personne  j'ai beau dire on me laisse toujours seul. il sonne une sonnette pour faire venir ses gens, et dit."
"ce jour nous y convie, et faisons aux échos redire mille fois,","ils n'entendent point  et ma sonnette ne fait pas assez de bruit. drelin drelin drelin. point d'affaire. drelin drelin drelin. ils sont sourds."
"*louis* est le plus grand des rois. faunes bergers  et bergères tous se mêlent  et il se fait entre eux des jeux de danse","toinette drelin drelin drelin tout comme si je ne sonnais point. il ne sonne plus, mais il crie."
"votre plus haut savoir n'est que pure chimère, vains et peu sages médecins,","drelin drelin drelin. carogne à tous les diables. est-il possible qu'on laisse comme cela un pauvre malade tout seul ? drelin drelin drelin. voilà qui est pitoyable. drelin drelin drelin."
"vous ne pouvez guérir par vos grands mots latins la douleur qui me désespère.","ah mon dieu ils me laisseront ici mourir. drelin drelin drelin."
"on y va.","ah chienne, ah carogne…"
"diantre soit fait de votre impatience. vous pressez si fort les personnes que je me suis donné un grand coup de la tête contre la carne d'un volet.","ah traîtresse…"
"ha !","il y a…"
"ha !","il y a une heure…"
"ha !","tu m'as laissé…"
"ha !","tais-toi donc, coquine, que je te querelle."
"çamon, ma foi, j'en suis d'avis, après ce que je me suis fait.","tu m'as fait égosiller, carogne."
"et vous m'avez fait, vous, casser la tête. l'un vaut bien l'autre. quitte à quitte, si vous voulez.","quoi, coquine…"
"si vous querellez, je pleurerai.","me laisser, traîtresse…"
"ha !","chienne, tu veux…"
"ha !","quoi, il faudra encore que je n'aie pas le plaisir de la quereller ?"
"querellez tout votre soûl, je le veux bien.","tu m'en empêches, chienne, en m'interrompant à tous coups."
"si vous avez le plaisir de quereller il faut bien que de mon côté j'aie le plaisir de pleurer.","allons, il faut en passer par là. ôte-moi ceci, coquine, ôte-moi ceci. mon lavement d'aujourd'hui a-t-il bien opéré ?"
"votre lavement ?","oui. ai-je bien fait de la bile ?"
"ma foi, je ne me mêle point de ces affaires-là. c'est à monsieur fleurant à y mettre le nez, puisqu'il en a le profit.","qu'on ait soin de me tenir un bouillon prêt pour l'autre que je dois tantôt prendre."
"ce monsieur fleurant-là  et ce monsieur purgon s'égaient bien sur votre corps ! ils ont en vous une bonne vache à lait  et je voudrais bien leur demander quel mal vous avez","taisez-vous ignorante ce n'est pas à vous à contrôler les ordonnances de la médecine. qu'on me fasse venir ma fille angélique j'ai à lui dire quelque chose."
"la voici qui vient d'elle-même ; elle a deviné votre pensée.","approchez, angélique, vous venez à propos. je voulais vous parler."
"me voilà prête à vous ouïr.","attendez. donnez-moi mon bâton. je vais revenir tout à l'heure."
"allez vite, monsieur, allez. monsieur fleurant nous donne des affaires.","toinette."
"quoi ?","regarde-moi un peu."
"hé bien je vous regarde.","toinette."
"hé bien, quoi, toinette ?","ne devines-tu point de quoi je veux parler ?"
"je m'en doute assez : de votre jeune amant  car c'est sur lui depuis six jours que roulent tous vos entretiens   et vous n'êtes point bien si vous n'en parlez à toute heure.","puisque tu connais cela que n'es-tu donc la première à m'en entretenir"
"vous ne m'en donnez pas le temps, et vous avez des soins là-dessus, qu'il est difficile de prévenir.","je t'avoue que je ne saurais me lasser de te parler de lui  et que mon cœur profite avec chaleur de tous les moments de s'ouvrir à toi.  mais dis-moi condamnes-tu toinette les sentiments que j'ai pour lui ?"
"je n'ai garde.","ai-je tort de m'abandonner à ces douces impressions ?"
"je ne dis pas cela.","et voudrais-tu que je fusse insensible aux tendres protestations de cette passion ardente qu'il témoigne pour moi ?"
"à dieu ne plaise.","dis-moi un peu ne trouves-tu pas comme moi quelque chose du ciel quelque eff et du destin dans l'aventure inopinée de notre connaissance ?"
"oui.","ne trouves-tu pas que cette action d'embrasser ma défense sans me connaître, est tout à fait d'un honnête homme ?"
"oui.","que l'on ne peut pas en user plus généreusement ?"
"d'accord.","et qu'il fit tout cela de la meilleure grâce du monde ?"
"oh oui.","ne trouves-tu pas toinette, qu'il est bien fait de sa personne ?"
"assurément.","qu'il a l'air le meilleur du monde ?"
"sans doute.","que ses discours, comme ses actions, ont quelque chose de noble ?"
"cela est sûr.","qu'on ne peut rien entendre de plus passionné que tout ce qu'il me dit ?"
"il est vrai."," et qu'il n'est rien de plus fâcheux que la contrainte où l'on me tient qui bouche tout commerce aux doux empressements de cette mutuelle ardeur que le ciel nous inspire ?"
"vous avez raison.","mais, ma pauvre toinette, crois-tu qu'il m'aime autant qu'il me le dit ?"
