"ah ! charmante daphné.","trop aimable éroxène."
"acante, laisse-moi.","ne me suis point, tyrène."
"pourquoi me chasses-tu ?","pourquoi fuis-tu mes pas ?"
"tu me plais loin de moi.","je m'aime où tu n'es pas."
"ne cesseras-tu point cette rigueur mortelle ?","ne cesseras-tu point de m'être si cruelle ?"
"ne cesseras-tu point tes inutiles vœux ?","ne cesseras-tu point de m'être si fâcheux ?"
"si tu n'en prends pitié, je succombe à ma peine.","si tu ne me secours, ma mort est trop certaine."
"si tu ne veux partir, je vais quitter ce lieu.","si tu veux demeurer, je te vais dire adieu."
"hé bien en m'éloignant, je te vais satisfaire.","mon départ va t'ôter ce qui peut te déplaire."
"généreuse éroxène, en faveur de mes feux daigne au moins par pitié lui dire un mot ou deux.","obligeante daphné, parle à cette inhumaine. et sache d'où pour moi procède tant de haine."
"acante a du mérite, et t'aime tendrement. d'où vient que tu lui fais un si dur traitement ?","tyrène vaut beaucoup, et languit pour tes charmes. d'où vient que sans pitié tu vois couler ses larmes ?"
"puisque j'ai fait ici la demande avant toi, la raison te condamne à répondre avant moi.","pour tous les soins d'acante, on me voit inflexible, parce qu'à d'autres vœux je me trouve sensible."
"je ne fais pour tyrène éclater que rigueur, parce qu'un autre choix est maître de mon cœur.","puis-je savoir de toi ce choix qu'on te voit taire ?"
"oui, si tu veux du tien m'apprendre le mystère.","sans te nommer celui qu'amour m'a fait choisir, je puis facilement contenter ton désir,"
"oui, si tu veux du tien m'apprendre le mystère.","et de la main d'atis, ce peintre inimitable, j'en garde dans ma poche un portrait admirable,"
"oui, si tu veux du tien m'apprendre le mystère.","qui jusques au moindre trait lui ressemble si fort, qu'il est sûr que tes yeux le connaîtront d'abord."
"je puis te contenter par une même voie, et payer ton secret en pareille monnaie.","la boîte que le peintre a fait faire pour moi, est tout à fait semblable à celle que je vois."
"j'ai de la main aussi de ce peintre fameux, un aimable portrait de l'objet de mes vœux,","la boîte que le peintre a fait faire pour moi, est tout à fait semblable à celle que je vois."
"si plein de tous ses traits et de sa grâce extrême, que tu pourras d'abord te le nommer toi-même.","la boîte que le peintre a fait faire pour moi, est tout à fait semblable à celle que je vois."
"il est vrai, l'une à l'autre entièrement ressemble, et certes, il faut qu'atis les ait fait faire ensemble.","faisons en même temps par un peu de couleurs, confidence à nos yeux du secret de nos cœurs."
"voyons à qui plus vite entendra ce langage, et qui parle le mieux, de l'un ou l'autre ouvrage.","la méprise est plaisante, et tu te brouilles bien, au lieu de ton portrait, tu m'as rendu le mien."
"il est vrai, je ne sais comme j'ai fait la chose.","donne. de cette erreur ta rêverie est cause."
"que veut dire ceci ? nous nous jouons, je crois. tu fais de ces portraits même chose que moi.","certes, c'est pour en rire, et tu peux me le rendre."
"voici le vrai moyen de ne se point méprendre.","de mes sens prévenus est-ce une illusion ?"
"mon âme sur mes yeux fait-elle impression ?","myrtil à mes regards s'offre dans cet ouvrage."
"de myrtil dans ces traits je rencontre l'image.","c'est le jeune myrtil qui fait naître mes feux."
"c'est au jeune myrtil que tendent tous mes vœux.","je venais aujourd'hui te prier de lui dire, les soins que pour son sort son mérite m'inspire."
"je venais te chercher pour servir mon ardeur, dans le dessein que j'ai de m'assurer son cœur.","cette ardeur qu'il t'inspire est-elle si puissante ?"
