"qu'est-ce donc ? qu'avez-vous ?","laissez-moi, je vous prie."
"mais, encor, dites-moi, quelle bizarrerie...","laissez-moi là, vous dis-je, et courez vous cacher."
"mais on entend les gens, au moins, sans se fâcher.","moi, je veux me fâcher, et ne veux point entendre."
"dans vos brusques chagrins, je ne puis vous comprendre ; et quoique amis, enfin, je suis tout des premiers...","moi, votre ami ? rayez cela de vos papiers. j'ai fait jusques ici, profession de l'être ;"
"dans vos brusques chagrins, je ne puis vous comprendre ; et quoique amis, enfin, je suis tout des premiers...","mais après ce qu'en vous, je viens de voir paraître, je vous déclare net, que je ne le suis plus,"
"dans vos brusques chagrins, je ne puis vous comprendre ; et quoique amis, enfin, je suis tout des premiers...","et ne veux nulle place en des cœurs corrompus."
"je suis, donc, bien coupable, alceste, à votre compte ?","allez, vous devriez mourir de pure honte, une telle action ne saurait s'excuser,"
"je suis, donc, bien coupable, alceste, à votre compte ?","et tout homme d'honneur s'en doit scandaliser. je vous vois accabler un homme de caresses,"
"je suis, donc, bien coupable, alceste, à votre compte ?","et témoigner, pour lui, les dernières tendresses ; de protestations, d'offres, et de serments,"
"je suis, donc, bien coupable, alceste, à votre compte ?","vous chargez la fureur de vos embrassements : et quand je vous demande après, quel est cet homme,"
"je suis, donc, bien coupable, alceste, à votre compte ?","à peine pouvez-vous dire comme il se nomme, votre chaleur, pour lui, tombe en vous séparant,"
"je suis, donc, bien coupable, alceste, à votre compte ?","et vous me le traitez, à moi, d'indifférent. morbleu, c'est une chose indigne, lâche, infâme,"
"je suis, donc, bien coupable, alceste, à votre compte ?","de s'abaisser ainsi jusqu'à trahir son âme : et si, par un malheur, j'en avais fait autant,"
"je suis, donc, bien coupable, alceste, à votre compte ?","je m'irais, de regret, pendre tout à l'instant."
"je ne vois pas, pour moi, que le cas soit pendable ; et je vous supplierai d'avoir pour agréable,","que la plaisanterie est de mauvaise grâce !"
"que je me fasse un peu, grâce sur votre arrêt, et ne me pende pas, pour cela, s'il vous plaît.","que la plaisanterie est de mauvaise grâce !"
"mais, sérieusement, que voulez-vous qu'on fasse ?","je veux qu'on soit sincère, et qu'en homme d'honneur, on ne lâche aucun mot qui ne parte du cœur."
"lorsqu'un homme vous vient embrasser avec joie, il faut bien le payer de la même monnaie,","non, je ne puis souffrir cette lâche méthode qu'affectent la plupart de vos gens à la mode ;"
"répondre, comme on peut, à ses empressements, et rendre offre pour offre, et serments pour serments.","et je ne hais rien tant, que les contorsions de tous ces grands faiseurs de protestations,"
"lorsqu'un homme vous vient embrasser avec joie, il faut bien le payer de la même monnaie,","ces affables donneurs d'embrassades frivoles, ces obligeants diseurs d'inutiles paroles,"
"répondre, comme on peut, à ses empressements, et rendre offre pour offre, et serments pour serments.","qui de civilités, avec tous, font combat, et traitent du même air, l'honnête homme, et le fat."
"lorsqu'un homme vous vient embrasser avec joie, il faut bien le payer de la même monnaie,","quel avantage a-t-on qu'un homme vous caresse, vous jure amitié, foi, zèle, estime, tendresse,"
"répondre, comme on peut, à ses empressements, et rendre offre pour offre, et serments pour serments.","et vous fasse de vous, un éloge éclatant, lorsque au premier faquin, il court en faire autant ?"
"lorsqu'un homme vous vient embrasser avec joie, il faut bien le payer de la même monnaie,","non, non, il n'est point d'âme un peu bien située, qui veuille d'une estime, ainsi, prostituée ;"
"répondre, comme on peut, à ses empressements, et rendre offre pour offre, et serments pour serments.","et la plus glorieuse a des régals peu chers, dès qu'on voit qu'on nous mêle avec tout l'univers :"
"lorsqu'un homme vous vient embrasser avec joie, il faut bien le payer de la même monnaie,","sur quelque préférence, une estime se fonde, et c'est n'estimer rien, qu'estimer tout le monde."
"répondre, comme on peut, à ses empressements, et rendre offre pour offre, et serments pour serments.","puisque vous y donnez, dans ces vices du temps, morbleu, vous n'êtes pas pour être de mes gens ;"
"lorsqu'un homme vous vient embrasser avec joie, il faut bien le payer de la même monnaie,","je refuse d'un cœur la vaste complaisance, qui ne fait de mérite aucune différence ;"
"répondre, comme on peut, à ses empressements, et rendre offre pour offre, et serments pour serments.","je veux qu'on me distingue, et pour le trancher net, l'ami du genre humain n'est point du tout mon fait."
"mais quand on est du monde, il faut bien que l'on rende quelques dehors civils, que l'usage demande.","non, vous dis-je, on devrait châtier, sans pitié, ce commerce honteux de semblants d'amitié :"
"mais quand on est du monde, il faut bien que l'on rende quelques dehors civils, que l'usage demande.","je veux que l'on soit homme, et qu'en toute rencontre, le fond de notre cœur, dans nos discours, se montre ;"
"mais quand on est du monde, il faut bien que l'on rende quelques dehors civils, que l'usage demande.","que ce soit lui qui parle, et que nos sentiments ne se masquent jamais, sous de vains compliments."
"il est bien des endroits, où la pleine franchise deviendrait ridicule, et serait peu permise ;","oui."
"et, parfois, n'en déplaise à votre austère honneur, il est bon de cacher ce qu'on a dans le cœur.","oui."
"serait-il à propos, et de la bienséance, de dire à mille gens tout ce que d'eux, on pense ?","oui."
"et quand on a quelqu'un qu'on hait, ou qui déplaît, lui doit-on déclarer la chose comme elle est ?","oui."
"quoi ! vous iriez dire à la vieille émilie, qu'à son âge, il sied mal de faire la jolie ?","sans doute."
"et que le blanc qu'elle a, scandalise chacun ?","sans doute."
"à dorilas, qu'il est trop importun : et qu'il n'est à la cour, oreille qu'il ne lasse,","fort bien."
"à conter sa bravoure, et l'éclat de sa race ?","fort bien."
"vous vous moquez.","je ne me moque point, et je vais n'épargner personne sur ce point."
"vous vous moquez.","mes yeux sont trop blessés ; et la cour, et la ville, ne m'offrent rien qu'objets à m'échauffer la bile :"
"vous vous moquez.","j'entre en une humeur noire, en un chagrin profond, quand je vois vivre entre eux, les hommes comme ils font ;"
"vous vous moquez.","je ne trouve, partout, que lâche flatterie, qu'injustice, intérêt, trahison, fourberie ;"
"vous vous moquez.","je n'y puis plus tenir, j'enrage, et mon dessein est de rompre en visière à tout le genre humain."
"ce chagrin philosophe est un peu trop sauvage, je ris des noirs accès où je vous envisage ;","mon dieu, laissons là vos comparaisons fades."
"et crois voir, en nous deux, sous mêmes soins nourris, ces deux frères que peint *l'école des maris*,","mon dieu, laissons là vos comparaisons fades."
"dont...","mon dieu, laissons là vos comparaisons fades."
"non, tout de bon, quittez toutes ces incartades, le monde, par vos soins ne se changera pas ;","tant mieux, morbleu, tant mieux, c'est ce que je demande, ce m'est un fort bon signe, et ma joie en est grande :"
"et puisque la franchise a, pour vous, tant d'appas, je vous dirai tout franc, que cette maladie,","tous les hommes me sont, à tel point, odieux, que je serais fâché d'être sage à leurs yeux."
"partout où vous allez, donne la comédie, et qu'un si grand courroux contre les mœurs du temps,","tant mieux, morbleu, tant mieux, c'est ce que je demande, ce m'est un fort bon signe, et ma joie en est grande :"
"vous tourne en ridicule auprès de bien des gens.","tous les hommes me sont, à tel point, odieux, que je serais fâché d'être sage à leurs yeux."
"vous voulez un grand mal à la nature humaine !","oui, j'ai conçu pour elle une effroyable haine."
"tous les pauvres mortels, sans nulle exception, seront enveloppés dans cette aversion ?","non, elle est générale, et je hais tous les hommes : les uns, parce qu'ils sont méchants et malfaisants ;"
"encore en est-il bien, dans le siècle où nous sommes…","et les autres, pour être aux méchants complaisants, et n'avoir pas, pour eux, ces haines vigoureuses"
"tous les pauvres mortels, sans nulle exception, seront enveloppés dans cette aversion ?","que doit donner le vice aux âmes vertueuses. de cette complaisance, on voit l'injuste excès,"
"encore en est-il bien, dans le siècle où nous sommes…","pour le franc scélérat avec qui j'ai procès ; au travers de son masque, on voit à plein le traître,"
"tous les pauvres mortels, sans nulle exception, seront enveloppés dans cette aversion ?","partout, il est connu pour tout ce qu'il peut être ; et ses roulements d'yeux, et son ton radouci,"
"encore en est-il bien, dans le siècle où nous sommes…","n'imposent qu'à des gens qui ne sont point d'ici. on sait que ce pied-plat, digne qu'on le confonde,"
"tous les pauvres mortels, sans nulle exception, seront enveloppés dans cette aversion ?","par de sales emplois s'est poussé dans le monde : et que, par eux, son sort, de splendeur revêtu,"
"encore en est-il bien, dans le siècle où nous sommes…","fait gronder le mérite, et rougir la vertu. quelques titres honteux qu'en tous lieux on lui donne,"
"tous les pauvres mortels, sans nulle exception, seront enveloppés dans cette aversion ?","son misérable honneur ne voit pour lui, personne : nommez-le fourbe, infâme, et scélérat maudit,"
"encore en est-il bien, dans le siècle où nous sommes…","tout le monde en convient, et nul n'y contredit. cependant, sa grimace est, par tout, bienvenue,"
"tous les pauvres mortels, sans nulle exception, seront enveloppés dans cette aversion ?","on l'accueille, on lui rit ; partout, il s'insinue ; et s'il est, par la brigue, un rang à disputer,"
"encore en est-il bien, dans le siècle où nous sommes…","sur le plus honnête homme, on le voit l'emporter. têtebleu, ce me sont de mortelles blessures,"
"tous les pauvres mortels, sans nulle exception, seront enveloppés dans cette aversion ?","de voir qu'avec le vice on garde des mesures ; et, parfois, il me prend des mouvements soudains,"
"encore en est-il bien, dans le siècle où nous sommes…","de fuir, dans un désert, l'approche des humains."
"mon dieu, des mœurs du temps, mettons-nous moins en peine, et faisons un peu grâce à la nature humaine ;","mais ce flegme, monsieur, qui raisonne si bien, ce flegme, pourra-t-il ne s'échauffer de rien ?"
"ne l'examinons point dans la grande rigueur, et voyons ses défauts, avec quelque douceur.","et s'il faut, par hasard, qu'un ami vous trahisse, que pour avoir vos biens, on dresse un artifice,"
"il faut, parmi le monde, une vertu traitable, à force de sagesse on peut être blâmable,","ou qu'on tâche à semer de méchants bruits de vous, verrez-vous tout cela, sans vous mettre en courroux ?"
"la parfaite raison fuit toute extrémité, et veut que l'on soit sage avec sobriété.","mais ce flegme, monsieur, qui raisonne si bien, ce flegme, pourra-t-il ne s'échauffer de rien ?"
"cette grande raideur des vertus des vieux âges, heurte trop notre siècle, et les communs usages,","et s'il faut, par hasard, qu'un ami vous trahisse, que pour avoir vos biens, on dresse un artifice,"
"elle veut aux mortels trop de perfection, il faut fléchir au temps, sans obstination ;","ou qu'on tâche à semer de méchants bruits de vous, verrez-vous tout cela, sans vous mettre en courroux ?"
"et c'est une folie, à nulle autre seconde, de vouloir se mêler de corriger le monde.","mais ce flegme, monsieur, qui raisonne si bien, ce flegme, pourra-t-il ne s'échauffer de rien ?"
"j'observe, comme vous, cent choses, tous les jours, qui pourraient mieux aller, prenant un autre cours :","et s'il faut, par hasard, qu'un ami vous trahisse, que pour avoir vos biens, on dresse un artifice,"
"mais quoique à chaque pas, je puisse voir paraître, en courroux, comme vous, on ne me voit point être ;","ou qu'on tâche à semer de méchants bruits de vous, verrez-vous tout cela, sans vous mettre en courroux ?"
"je prends, tout doucement, les hommes comme ils sont ; j'accoutume mon âme à souffrir ce qu'ils font ;","mais ce flegme, monsieur, qui raisonne si bien, ce flegme, pourra-t-il ne s'échauffer de rien ?"
"et je crois qu'à la cour, de même qu'à la ville, mon flegme est philosophe, autant que votre bile.","et s'il faut, par hasard, qu'un ami vous trahisse, que pour avoir vos biens, on dresse un artifice,"
"oui, je vois ces défauts dont votre âme murmure, comme vices unis à l'humaine nature ;","je me verrai trahir, mettre en pièces, voler, sans que je sois… morbleu, je ne veux point parler,"
"et mon esprit, enfin, n'est pas plus offensé, de voir un homme fourbe, injuste, intéressé,","tant ce raisonnement est plein d'impertinence."
"que de voir des vautours affamés de carnage, des singes malfaisants, et des loups pleins de rage.","je me verrai trahir, mettre en pièces, voler, sans que je sois… morbleu, je ne veux point parler,"
"ma foi, vous ferez bien de garder le silence ; contre votre partie, éclatez un peu moins,","je n'en donnerai point, c'est une chose dite."
"et donnez au procès, une part de vos soins.","je n'en donnerai point, c'est une chose dite."
"mais qui voulez-vous donc, qui, pour vous, sollicite ?","qui je veux ? la raison, mon bon droit, l'équité."
"aucun juge, par vous, ne sera visité ?","non, est-ce que ma cause est injuste, ou douteuse ?"
"j'en demeure d'accord ; mais la brigue est fâcheuse, et…","non, j'ai résolu de n'en pas faire un pas ; j'ai tort, ou j'ai raison."
"ne vous y fiez pas.","je ne remuerai point."
"votre partie est forte, et peut, par sa cabale, entraîner…","il n'importe."
"vous vous tromperez.","soit, j'en veux voir le succès."
"mais…","j'aurai le plaisir de perdre mon procès."
"mais, enfin…","je verrai, dans cette plaiderie, si les hommes auront assez d'effronterie,"
"mais, enfin…","seront assez méchants, scélérats et pervers, pour me faire injustice aux yeux de l'univers."
"quel homme !","je voudrais, m'en coûtât-il grand-chose, pour la beauté du fait, avoir perdu ma cause."
"on se rirait de vous, alceste, tout de bon, si l'on vous entendait parler de la façon.","tant pis pour qui rirait."
"mais cette rectitude, que vous voulez, en tout, avec exactitude,","non, l'amour que je sens pour cette jeune veuve ne ferme point mes yeux aux défauts qu'on lui treuve ;"
"cette pleine droiture où vous vous renfermez, la trouvez-vous ici, dans ce que vous aimez ?","et je suis, quelque ardeur qu'elle m'ait pu donner, le premier à les voir, comme à les condamner."
"je m'étonne, pour moi, qu'étant, comme il le semble, vous et le genre humain, si fort brouillés ensemble,","mais, avec tout cela, quoi que je puisse faire, je confesse mon faible, elle a l'art de me plaire ;"
"malgré tout ce qui peut vous le rendre odieux, vous ayez pris, chez lui, ce qui charme vos yeux ;","j'ai beau voir ses défauts et j'ai beau l'en blâmer, en dépit qu'on en ait, elle se fait aimer ;"
"et ce qui me surprend, encore, davantage, c'est cet étrange choix où votre coeur s'engage.","sa grâce est la plus forte, et, sans doute, ma flamme de ces vices du temps pourra purger son âme."
"la sincère éliante a du penchant pour vous, la prude arsinoé vous voit d'un oeil fort doux :","non, l'amour que je sens pour cette jeune veuve ne ferme point mes yeux aux défauts qu'on lui treuve ;"
"cependant, à leurs voeux, votre âme se refuse, tandis qu'en ses liens célimène l'amuse,","et je suis, quelque ardeur qu'elle m'ait pu donner, le premier à les voir, comme à les condamner."
"de qui l'humeur coquette, et l'esprit médisant, semble si fort donner dans les moeurs d'à présent.","mais, avec tout cela, quoi que je puisse faire, je confesse mon faible, elle a l'art de me plaire ;"
"d'où vient que leur portant une haine mortelle, vous pouvez bien souffrir ce qu'en tient cette belle ?","j'ai beau voir ses défauts et j'ai beau l'en blâmer, en dépit qu'on en ait, elle se fait aimer ;"
"ne sont-ce plus défauts dans un objet si doux ? ne les voyez-vous pas ? ou les excusez-vous ?","sa grâce est la plus forte, et, sans doute, ma flamme de ces vices du temps pourra purger son âme."
"si vous faites cela, vous ne ferez pas peu. vous croyez être, donc, aimé d'elle ?","oui, parbleu ; je ne l'aimerais pas, si je ne croyais l'être."
"mais si son amitié, pour vous, se fait paraître, d'où vient que vos rivaux vous causent de l'ennui ?","c'est qu'un coeur bien atteint veut qu'on soit tout à lui ; et je ne viens ici, qu'à dessein de lui dire"
"mais si son amitié, pour vous, se fait paraître, d'où vient que vos rivaux vous causent de l'ennui ?","tout ce que là-dessus, ma passion m'inspire."
"pour moi, si je n'avais qu'à former des désirs, sa cousine eliante aurait tous mes soupirs,","il est vrai, ma raison me le dit chaque jour ; mais la raison n'est pas ce qui règle l'amour."
"son cœur, qui vous estime, est solide, et sincère ; et ce choix plus conforme, était mieux votre affaire.","il est vrai, ma raison me le dit chaque jour ; mais la raison n'est pas ce qui règle l'amour."
"je crains fort pour vos feux ; et l'espoir où vous êtes, pourrait…","j'ai su là-bas que, pour quelques emplettes éliante est sortie, et célimène aussi :"
"je crains fort pour vos feux ; et l'espoir où vous êtes, pourrait…","mais, comme l'on m'a dit que vous étiez ici, j'ai monté, pour vous dire, et d'un coeur véritable,"
"je crains fort pour vos feux ; et l'espoir où vous êtes, pourrait…","que j'ai conçu pour vous, une estime incroyable ; et que, depuis longtemps, cette estime m'a mis"
"je crains fort pour vos feux ; et l'espoir où vous êtes, pourrait…","dans un ardent désir d'être de vos amis. oui, mon coeur, au mérite aime à rendre justice,"
"je crains fort pour vos feux ; et l'espoir où vous êtes, pourrait…","et je brûle qu'un noeud d'amitié nous unisse : je crois qu'un ami chaud, et de ma qualité,"
"je crains fort pour vos feux ; et l'espoir où vous êtes, pourrait…","n'est pas, assurément, pour être rejeté. c'est à vous, s'il vous plaît, que ce discours s'adresse."
"je crains fort pour vos feux ; et l'espoir où vous êtes, pourrait…","en cet endroit alceste paraît tout rêveur, et semble n'entendre pas qu'oronte lui parle."
"à moi, monsieur ?","à vous. trouvez-vous qu'il vous blesse ?"
"non pas, mais la surprise est fort grande pour moi. et je n'attendais pas l'honneur que je reçois.","l'estime où je vous tiens ne doit point vous surprendre, et de tout l'univers, vous la pouvez prétendre."
"monsieur...","l'état n'a rien qui ne soit au-dessous du mérite éclatant que l'on découvre en vous."
"monsieur…","oui, de ma part, je vous tiens préférable a tout ce que j'y vois de plus considérable."
"monsieur…","sois-je du ciel écrasé, si je mens ; et pour vous confirmer ici, mes sentiments,"
"monsieur…","souffrez qu'à coeur ouvert, monsieur, je vous embrasse, et qu'en votre amitié, je vous demande place."
"monsieur…","touchez-là, s'il vous plaît, vous me la promettez votre amitié ?"
"monsieur…","quoi ? vous y résistez ?"
"monsieur, c'est trop d'honneur que vous me voulez faire ; mais l'amitié demande un peu plus de mystère,","parbleu, c'est là-dessus, parler en homme sage, et je vous en estime, encore, davantage :"
"et c'est, assurément, en profaner le nom, que de vouloir le mettre à toute occasion.","souffrons, donc, que le temps forme des noeuds si doux. mais, cependant, je m'offre entièrement à vous ;"
"avec lumière et choix cette union veut naître, avant que nous lier, il faut nous mieux connaître ;","s'il faut faire à la cour, pour vous, quelque ouverture, on sait, qu'auprès du roi, je fais quelque figure,"
"et nous pourrions avoir telles complexions, que tous deux, du marché, nous nous repentirions.","il m'écoute, et dans tout, il en use, ma foi, le plus honnêtement du monde, avecque moi."
"monsieur, c'est trop d'honneur que vous me voulez faire ; mais l'amitié demande un peu plus de mystère,","enfin, je suis à vous, de toutes les manières ; et, comme votre esprit a de grandes lumières,"
"et c'est, assurément, en profaner le nom, que de vouloir le mettre à toute occasion.","je viens, pour commencer, entre nous, ce beau noeud, vous montrer un sonnet, que j'ai fait depuis peu,"
"avec lumière et choix cette union veut naître, avant que nous lier, il faut nous mieux connaître ;","et savoir s'il est bon qu'au public je l'expose."
"monsieur, je suis mal propre à décider la chose, veuillez m'en dispenser.","pourquoi ?"
"j'ai le défaut d'être un peu plus sincère, en cela, qu'il ne faut.","c'est ce que je demande, et j'aurais lieu de plainte, si m'exposant à vous, pour me parler sans feinte,"
"j'ai le défaut d'être un peu plus sincère, en cela, qu'il ne faut.","vous alliez me trahir, et me déguiser rien."
"puisqu'il vous plaît ainsi, monsieur, je le veux bien.","*sonnet...* c'est un sonnet. *l'espoir*… c'est une dame, qui, de quelque espérance, avait flatté ma flamme."
"puisqu'il vous plaît ainsi, monsieur, je le veux bien.","*l'espoir…* ce ne sont point de ces grands vers pompeux, mais de petits vers doux, tendres, et langoureux."
"puisqu'il vous plaît ainsi, monsieur, je le veux bien.","à toutes ces interruptions il regarde alceste."
"nous verrons bien.","*l'espoir*… je ne sais si le style pourra vous en paraître assez net, et facile ;"
"nous verrons bien.","et si, du choix des mots, vous vous contenterez."
"nous allons voir, monsieur.","au reste, vous saurez, que je n'ai demeuré qu'un quart d'heure à le faire."
"voyons, monsieur, le temps ne fait rien à l'affaire.","l'espoir, il est vrai, nous soulage, et nous berce un temps, notre ennui ;"
"voyons, monsieur, le temps ne fait rien à l'affaire.","mais, philis, le triste avantage, lorsque rien ne marche après lui !"
"je suis déjà charmé de ce petit morceau.","quoi ! vous avez le front de trouver cela beau ?"
