"répands, charmante nuit, répands sur tous les yeux, de tes pavots la douce violence,","que soupirer d'amour est une douce chose,"
"et ne laisse veiller en ces aimables lieux que les cœurs que l'amour soumet à sa puissance.","quand rien à nos voeux ne s'oppose ! à d'aimables penchants notre cœur nous dispose,"
"tes ombres et ton silence plus beau que le plus beau jour,","mais on a des tyrans à qui l'on doit le jour : que soupirer d'amour"
"offrent de doux moments à soupirer d'amour.","est une douce chose, quand rien à nos vœux ne s'oppose !"
"tout ce qu'à nos vœux on oppose, contre un parfait amour ne gagne jamais rien ;","aimons-nous donc d'une ardeur éternelle, les rigueurs des parents, la contrainte cruelle,"
"et pour vaincre toute chose, il ne faut que s'aimer bien.","l'absence, les travaux, la fortune rebelle, ne font que redoubler une amitié fidèle :"
"tout ce qu'à nos vœux on oppose, contre un parfait amour ne gagne jamais rien ;","aimons-nous donc d'une ardeur éternelle. quand deux cœurs s'aiment bien,"
"et pour vaincre toute chose, il ne faut que s'aimer bien.","tout le reste n'est rien. la sérénade est suivie d'une danse de deux pages pendant laquelle quatre curieux de spectacles ayant pris querelle ensemble"
"tout ce qu'à nos vœux on oppose, contre un parfait amour ne gagne jamais rien ;","mettent l'épée à la main. après un assez agréable combat ils sont séparés par deux suisses qui les ayant mis d'accord dansent avec eux au son de tous les instruments."
"mon dieu éraste gardons d'être surpris  je tremble qu'on ne nous voie ensemble ","je regarde de tous côtés, et je n'aperçois rien."
"aie aussi l'œil au guet, nérine, et prends bien garde qu'il ne vienne personne.","reposez-vous sur moi, et dites hardiment ce que vous avez à vous dire."
"avez-vous imaginé pour notre affaire quelque chose de favorable ?  et croyez-vous éraste pouvoir venir à bout de détourner ce fâcheux mariage que mon père s'est mis en tête ?","au moins y travaillons-nous fortement  et déjà nous avons préparé un bon nombre de batteries pour renverser ce dessein ridicule."
"par ma foi, voilà votre père !","ah séparons-nous vite."
"non, non, non, ne bougez, je m'étais trompée.","mon dieu, nérine, que tu es sotte, de nous donner de ces frayeurs !"
"oui belle julie nous avons dressé pour cela quantité de machines  et nous ne feignons point de mettre tout en usage sur la permission que vous m'avez donnée.ne nous demandez point tous les ressorts que nous ferons jouer","assurément.votre père se moque-t-il de vouloir vous anger de son avocat de limoges monsieur de pourceaugnac qu'il n'a vu de sa vie  et qui vient par le coche vous enlever à notre barbe ?"
"vous en aurez le divertissement  et comme aux comédies il est bon de vous laisser le plaisir de la surprise  et de ne vous avertir point de tout ce qu'on vous fera voir c'est assez de vous dire que nous avons en main divers stratagèmes tous prêts à produire dans l'occasion","faut-il que trois ou quatre mille écus de plus sur la parole de votre oncle lui fassent rejeter un amant qui vous agrée ?  et une personne comme vous"
" et que l'ingénieuse nérine  et l'adroit sbrigani entreprennent l'affaire.","est-elle faite pour un limosin ? s'il a envie de se marier que ne prend-il une limosine  et ne laisse-t-il en repos les chrétiens ? le seul nom de monsieur de pourceaugnac m'a mis dans une colère effroyable.j'enrage de monsieur de pourceaugnac.quand il n'y aurait que ce nom-là"
"oui belle julie nous avons dressé pour cela quantité de machines  et nous ne feignons point de mettre tout en usage sur la permission que vous m'avez donnée.ne nous demandez point tous les ressorts que nous ferons jouer","monsieur de pourceaugnac j'y brûlerai mes livres ou je romprai ce mariage  et vous ne serez point madame de pourceaugnac.pourceaugnac !"
"vous en aurez le divertissement  et comme aux comédies il est bon de vous laisser le plaisir de la surprise  et de ne vous avertir point de tout ce qu'on vous fera voir c'est assez de vous dire que nous avons en main divers stratagèmes tous prêts à produire dans l'occasion","cela se peut-il souffrir ? non pourceaugnac est une chose que je ne saurais supporter  et nous lui jouerons tant de pièces nous lui ferons tant de niches sur niches"
"voici notre subtil napolitain, qui nous dira des nouvelles.","monsieur votre homme arrive je l'ai vu à trois lieues d'ici où a couché le coche   et dans la cuisine où il est descendu pour déjeuner je l'ai étudié une bonne grosse demie heure"
"voici notre subtil napolitain, qui nous dira des nouvelles."," et je le sais déjà par cœur. pour sa figure je ne veux point vous en parler vous verrez de quel air la nature l'a dessinée  et si l'ajustement qui l'accompagne y répond comme il faut :"
"voici notre subtil napolitain, qui nous dira des nouvelles."," mais pour son esprit je vous avertis par avance qu'il est des plus épais qui se fassent  que nous trouvons en lui une matière tout à fait disposée pour ce que nous voulons"
"voici notre subtil napolitain, qui nous dira des nouvelles."," et qu'il est homme enfin à donner dans tous les panneaux qu'on lui présentera."
"nous dis-tu vrai ?","oui, si je me connais en gens."
"madame voilà un illustre votre affaire ne pouvait être mise en de meilleures mains  et c'est le héros de notre siècle pour les exploits dont il s'agit :","je suis confus des louanges dont vous m'honorez  et je pourrais vous en donner avec plus de justice sur les merveilles de votre vie   et principalement sur la gloire que vous acquîtes lorsqu'avec tant d'honnêteté vous pipâtes au jeu"
"un homme qui vingt fois en sa vie pour servir ses amis a généreusement affronté les galères  qui au péril de ses bras et de ses épaules sait mettre noblement à fin les aventures les plus difficiles ","pour douze mille écus ce jeune seigneur étranger que l'on mena chez vous  lorsque vous fîtes galamment ce faux contrat qui ruina toute une famille"
" et qui tel que vous le voyez est exilé de son pays pour je ne sais combien d'actions honorables qu'il a généreusement entreprises.","lorsque avec tant de grandeur d'âme vous sûtes nier le dépôt qu'on vous avait confié  et que si généreusement on vous vit prêter votre témoignage à faire pendre ces deux personnes qui ne l'avaient pas mérité."
"ce sont petites bagatelles qui ne valent pas qu'on en parle, et vos éloges me font rougir.","je veux bien épargner votre modestie laissons cela   et pour commencer notre affaire allons vite joindre notre provincial tandis que de votre côté vous nous tiendrez prêts au besoin les autres acteurs de la comédie."
"au moins madame souvenez-vous de votre rôle   et pour mieux couvrir notre jeu feignez comme on vous a dit d'être la plus contente du monde des résolutions de votre père.","s'il ne tient qu'à cela, les choses iront à merveille."
"mais, belle julie, si toutes nos machines venaient à ne pas réussir ?","je déclarerai à mon père mes véritables sentiments."
"et si contre vos sentiments il s'obstinait à son dessein ?","je le menacerais de me jeter dans un convent."
"mais si malgré tout cela il voulait vous forcer à ce mariage ?","que voulez-vous que je vous dise ?"
"ce que je veux que vous me disiez ?","oui."
"ce qu'on dit quand on aime bien.","mais quoi ?"
"que rien ne pourra vous contraindre, et que malgré tous les efforts d'un père, vous me promettez d'être à moi.","mon dieu éraste contentez-vous de ce que je fais maintenant  et n'allez point tenter sur l'avenir les résolutions de mon cœur : ne fatiguez point mon devoir par les propositions d'une fâcheuse extrémité dont peut-être n'aurons-nous pas besoin"
"que rien ne pourra vous contraindre, et que malgré tous les efforts d'un père, vous me promettez d'être à moi."," et s'il y faut venir souffrez au moins que j'y sois entraînée par la suite des choses."
"eh bien…","ma foi, voici notre homme, songeons à nous."
"ah comme il est bâti !","hé bien quoi ? qu'est-ce ? qu'y a-t-il ? au diantre soit la sotte ville  et les sottes gens qui y sont : ne pouvoir faire un pas sans trouver des nigauds qui vous regardent"
