"seigneur la grange.","quoi ?"
"regardez-moi un peu sans rire.","eh bien !"
"que dites-vous de notre visite ? en êtes-vous fort satisfait ?","à votre avis, avons-nous sujet de l'être tous deux ?"
"pas tout à fait à dire vrai.","pour moi je vous avoue que j'en suis tout scandalisé. a-t-on ja mais vu dites-moi deux pecques provinciales faire plus les renchéries que celles-là"
"pas tout à fait à dire vrai."," à peine ont-elles pu se résoudre à nous faire donner des sièges."
"pas tout à fait à dire vrai."," je n'ai jamais vu tant parler à l'oreille qu'elles ont fait entre elles, tant bâiller ;"
"pas tout à fait à dire vrai.","tant se frotter les yeux  et demander tant de fois quelle heure est-il  ont-elles répondu que oui et non à tout ce que nous avons pu leur dire ?"
"pas tout à fait à dire vrai."," et ne m'avouerez-vous pas enfin que quand nous aurions été les dernières personnes du monde"
"il me semble que vous prenez la chose fort à cœur.","sans doute je l'y prends  et de telle façon que je veux me venger de cette impertinence. je connais ce qui nous a fait mépriser. l'air précieux n'a pas seulement infecté paris"
"il me semble que vous prenez la chose fort à cœur.","il s'est aussi répandu dans les provinces et nos donzelles ridicules en ont humé leur bonne part. en un mot c'est un ambigu de précieuse et de coquette que leur personne "
"il me semble que vous prenez la chose fort à cœur.","je vois ce qu'il faut être pour en être bien reçu  et si vous m'en croyez nous leur jouerons tous deux une pièce qui leur fera voir leur sottise"
"il me semble que vous prenez la chose fort à cœur."," et pourra leur apprendre à connaître un peu mieux leur monde."
"et comment encore ?","j'ai un certain val et nommé mascarille qui passe au sentiment de beaucoup de gens pour une manière de bel esprit car il n'y a rien à meilleur marché que le bel esprit maintenant."
"et comment encore ?","c'est un extravagant qui s'est mis dans la tête de vouloir faire l'homme de condition. il se pique ordinairement de galanterie  et de vers  et dédaigne les autres valets jusqu'à les appeler brutaux."
"et bien qu'en prétendez-vous faire ?","ce que j'en prétends faire ! il faut… mais sortons d'ici auparavant."
"et bien vous avez vu ma nièce, et ma fille, les affaires iront-elles bien ? quel est le résultat de cette visite ?","c'est une chose que vous pourrez mieux apprendre d'elles que de nous. tout ce que nous pouvons vous dire c'est que nous vous rendons grâce de la faveur que vous nous avez faite"
"ouais il semble qu'ils sortent mal satisfaits d'ici d'où pourrait venir leur mécontentement ?","que désirez-vous monsieur ?"
"où sont vos maîtresses ?","dans leur cabinet."
"que font-elles ?","de la pommade pour les lèvres."
"c'est trop pommadé. dites-leur qu'elles descendent. ces pendardes-là avec leur pommade ont je pense envie de me ruiner. je ne vois partout que blancs d'œufs lait virginal  et mille autres brimborions que je ne connais point.","il est bien nécessaire vraiment de faire tant de dépense pour vous graisser le museau. dites-moi un peu ce que vous avez fait à ces messieurs que je les vois sortir avec tant de froideur ?"
"elles ont usé depuis que nous sommes ici le lard d'une douzaine de cochons pour le moins  et quatre valets vivraient tous les jours des pieds de mouton qu'elles emploient.","vous avais-je pas commandé de les recevoir comme des personnes"
"et quelle estime, mon père, voulez-vous que nous fassions du procédé irrégulier de ces gens-là ?","le moyen, mon oncle, qu'une fille un peu raisonnable se pût accommoder de leur personne ?"
"et qu'y trouvez-vous à redire ?","la belle galanterie que la leur ! quoi, débuter d'abord par le mariage ?"
" et par où veux-tu donc qu'ils débutent par le concubinage ? n'est-ce pas un procédé dont vous avez suj et de vous louer toutes deux aussi bien que moi ?","ah mon père ce que vous dites là est du dernier bourgeois. cela me fait honte de vous ouïr parler de la sorte  et vous devriez un peu vous faire apprendre le bel air des choses."
"est-il rien de plus obligeant que cela ?  et ce lien sacré où ils aspirent n'est-il pas un témoignage de l'honnêteté de leurs intentions ?","ah mon père ce que vous dites là est du dernier bourgeois. cela me fait honte de vous ouïr parler de la sorte  et vous devriez un peu vous faire apprendre le bel air des choses."
"je n'ai que faire ni d'air ni de chanson. je te dis que le mariage est une chose sainte  et sacrée  et que c'est faire en honnêtes gens que de débuter par là.","mon dieu que si tout le monde vous ressemblait un roman serait bientôt fini : la belle chose que ce serait si d'abord cyrus épousait mandane"
"que me vient conter celle-ci ?","mon père voilà ma cousine qui vous dira aussi bien que moi que le mariage ne doit ja mais arriver qu'après les autres aventures. il faut qu'un amant"
"que me vient conter celle-ci ?","pour être agréable sache débiter les beaux sentiments  pousser le doux le tendre  et le passionné  et que sa recherche soit dans les formes."
"que me vient conter celle-ci ?","premièrement il doit voir au temple ou à la promenade ou dans quelque cérémonie publique la personne dont il devient amoureux  ou bien être conduit fatalement chez elle par un parent ou un ami"
"que me vient conter celle-ci ?"," et sortir de là tout rêveur  et mélancolique. il cache un temps sa passion à l'obj et aimé  et cependant lui rend plusieurs visites"
"que me vient conter celle-ci ?","où l'on ne manque ja mais de mettre sur le tapis une question galante qui exerce les esprits de l'assemblée. le jour de la déclaration arrive"
"que me vient conter celle-ci ?","qui se doit faire ordinairement dans une allée de quelque jardin tandis que la compagnie s'est un peu éloignée :  et cette déclaration est suivie d'un prompt courroux"
"que me vient conter celle-ci ?","qui paraît à notre rougeur  et qui pour un temps bannit l'amant de notre présence. ensuite il trouve un moyen de nous apaiser de nous accoutumer insensiblement au discours de sa passion"
"que me vient conter celle-ci ?"," et de tirer de nous c et aveu qui fait tant de peine. après cela viennent les aventures  les rivaux qui se jettent à la traverse d'une inclination établie"
"que me vient conter celle-ci ?","les persécutions des pères les jalousies conçues sur de fausses apparences les plaintes les désespoirs les enlèvements  et ce qui s'ensuit."
"que me vient conter celle-ci ?","voilà comme les choses se traitent dans les belles manières  et ce sont des règles dont en bonne galanterie on ne saurait se dispenser  mais en venir de but en blanc à l'union conjugale !"
"que me vient conter celle-ci ?","ne faire l'amour qu'en faisant le contrat du mariage  et prendre justement le roman par la queue ! encore un coup mon père il ne se peut rien de plus marchand que ce procédé"
"quel diable de jargon entends-je ici ? voici bien du haut style.","en effet mon oncle ma cousine donne dans le vrai de la chose. le moyen de bien recevoir des gens qui sont tout à fait incongrus en galanterie ?"
"quel diable de jargon entends-je ici ? voici bien du haut style.","je m'en vais gager qu'ils n'ont ja mais vu la carte de tendre  et que billets-doux petits soins billets galants  et jolis vers"
"quel diable de jargon entends-je ici ? voici bien du haut style.","sont des terres inconnues pour eux. ne voyez-vous pas que toute leur personne marque cela  et qu'ils n'ont point c et air qui donne d'abord bonne opinion des gens ?"
"quel diable de jargon entends-je ici ? voici bien du haut style.","venir en visite amoureuse avec une jambe toute unie un chapeau désarmé de plumes  une tête irrégulière en cheveux et un habit qui souffre une indigence de rubans !"
"quel diable de jargon entends-je ici ? voici bien du haut style.","mon dieu quels amants sont-ce là ! quelle frugalité d'ajustement  et quelle sécheresse de conversation ! on n'y dure point on n'y tient pas."
"quel diable de jargon entends-je ici ? voici bien du haut style.","j'ai remarqué encore que leurs rabats ne sont pas de la bonne faiseuse  et qu'il s'en faut plus d'un grand demi-pied que leurs hauts-de-chausses"
"je pense qu'elles sont folles toutes deux, et je ne puis rien comprendre à ce baragouin. cathos et vous magdelon...","eh de grâce, mon père, défaites-vous de ces noms étranges, et nous appelez autrement."
"comment ces noms étranges ? ne sont-ce pas vos noms de baptême ?","mon dieu que vous êtes vulgaire ! pour moi un de mes étonnements c'est que vous ayez pu faire une fille si spirituelle que moi."
"comment ces noms étranges ? ne sont-ce pas vos noms de baptême ?","a-t-on ja mais parlé dans le beau style de cathos ni de magdelon ?  et ne m'avouerez-vous pas que ce serait assez d'un de ces noms"
"il est vrai mon oncle qu'une oreille un peu délicate pâtit furieusement à entendre prononcer ces mots-là  et le nom de polixène que ma cousine a choisi  et celui d'aminte","écoutez il n'y a qu'un mot qui serve. je n'entends point que vous ayez d'autres noms que ceux qui vous ont été donnés par vos parrains  et marraines"
"que je me suis donné ont une grâce dont il faut que vous demeuriez d'accord."," et pour ces messieurs dont il est question je connais leurs familles  et leurs biens  et je veux résolument que vous vous disposiez à les recevoir pour maris."
"il est vrai mon oncle qu'une oreille un peu délicate pâtit furieusement à entendre prononcer ces mots-là  et le nom de polixène que ma cousine a choisi  et celui d'aminte","je me lasse de vous avoir sur les bras  et la garde de deux filles est une charge un peu trop pesante"
"pour moi mon oncle tout ce que je vous puis dire c'est que je trouve le mariage une chose tout à fait choquante. comment est-ce qu'on peut souffrir la pensée de coucher contre un homme vraiment nu ?","souffrez que nous prenions un peu haleine parmi le beau monde de paris où nous ne faisons que d'arriver. laissez-nous faire à loisir le tissu de notre roman"
"il n'en faut point douter elles sont achevées. encore un coup je n'entends rien à toutes ces balivernes je veux être maître absolu","mon dieu ma chère que ton père a la forme enfoncée dans la matière ! que son intelligence est épaisse  et qu'il fait sombre dans son âme !"
" et pour trancher toutes sortes de discours ou vous serez mariées toutes deux avant qu'il soit peu ou ma foi vous serez religieuses j'en fais un bon serment.","mon dieu ma chère que ton père a la forme enfoncée dans la matière ! que son intelligence est épaisse  et qu'il fait sombre dans son âme !"
"que veux-tu ma chère j'en suis en confusion pour lui. j'ai peine à me persuader que je puisse être véritablement sa fille  et je crois que quelque aventure un jour me viendra développer une naissance plus illustre.","je le croirais bien oui, il y a toutes les apparences du monde, et pour moi, quand je me regarde aussi…"
"voilà un laquais, qui demande, si vous êtes au logis, et dit que son maître vous veut venir voir.","apprenez sotte à vous énoncer moins vulgairement. dites : voilà un nécessaire qui demande"
"dame, je n'entends point le latin, et je n'ai pas appris, comme vous, la filofie dans le *grand cyre*.","l'impertinente ! le moyen de souffrir cela ! et qui est-il, le maître de ce laquais ?"
"il me l'a nommé le marquis de mascarille.","ah ma chère ! un marquis oui allez dire qu'on nous peut voir."
"assurément, ma chère.","il faut le recevoir dans cette salle basse plutôt qu'en notre chambre : ajustons un peu nos cheveux au moins  et soutenons notre réputation."
"par ma foi, je ne sais point quelle bête c'est là, il faut parler chrétien, si vous voulez, que je vous entende.","apportez-nous le miroir ignorante que vous êtes.  et gardez-vous bien d'en salir la glace"
"holà porteurs holà. là là là là là là. je pense que ces marauds-là ont dessein de me briser","dame, c'est que la porte est étroite. vous avez voulu aussi, que nous soyons entrés jusqu'ici."
"je le crois bien. voudriez-vous faquins que j'exposasse l'embonpoint de mes plumes aux inclémences de la saison pluvieuse ?  et que j'allasse imprimer mes souliers en boue ? allez ôtez votre chaise d'ici.","payez-nous donc, s'il vous plaît, monsieur."
"hem ?","je dis, monsieur, que vous nous donniez de l'argent, s'il vous plaît."
"comment, coquin, demander de l'argent à une personne de ma qualité ?","est-ce ainsi, qu'on paie les pauvres gens ? et votre qualité nous donne-t-elle à dîner ?"
"ah, ah, ah, je vous apprendrai à vous connaître. ces canailles-là s'osent jouer à moi.","çà, payez-nous vitement."
"quoi ?","je dis, que je veux avoir de l'argent, tout à l'heure."
"il est raisonnable.","vite donc."
"oui-da, tu parles comme il faut, toi ; mais l'autre est un coquin, qui ne sait ce qu'il dit. tiens, es-tu content ?","non, je ne suis pas content, vous avez donné un soufflet à mon camarade, et..."
"doucement tiens voilà pour le soufflet. on obtient tout de moi quand on s'y prend de la bonne façon. allez venez me reprendre tantôt","monsieur, voilà mes maîtresses, qui vont venir tout à l'heure."
"qu'elles ne se pressent point, je suis ici posté commodément, pour attendre.","les voici."
"mesdames vous serez surprises sans doute de l'audace de ma visite   mais votre réputation vous attire cette méchante affaire  et le mérite a","si vous poursuivez le mérite, ce n'est pas sur nos terres que vous devez chasser."
"pour moi des charmes si puissants que je cours partout après lui.","si vous poursuivez le mérite, ce n'est pas sur nos terres que vous devez chasser."
"pour voir chez nous le mérite, il a fallu, que vous l'y ayez amené.","ah je m'inscris en faux contre vos paroles. la renommé accuse juste en contant ce que vous valez  et vous allez faire pic repic  et capot"
"votre complaisance pousse un peu trop avant la libéralité de ces louanges  et nous n'avons garde ma cousine  et moi de donner de notre sérieux dans le doux de votre flatterie.","ma chère, il faudrait faire donner des sièges."
"holà, almanzor.","madame."
"vite, voiturez-nous ici les commodités de la conversation.","mais au moins, y a-t-il sûreté ici pour moi ?"
"que craignez-vous ?","quelque vol de mon cœur quelque assassinat de ma franchise. je vois ici des yeux qui ont la mine d'être de fort mauvais garçons de faire insulte aux libertés  et de traiter une âme de turc à more."
"que craignez-vous ?","comment diable d'abord qu'on les approche ils se mettent sur leur garde meurtrière ? ah ! par ma foi je m'en défie  et je m'en vais gagner au pied"
"que craignez-vous ?","ou je veux caution bourgeoise qu'ils ne me feront point de mal."
"ma chère, c'est le caractère enjoué.","je vois bien que c'est un amilcar."
"ne craignez rien, nos yeux n'ont point de mauvais desseins, et votre cœur peut dormir en assurance sur leur prud'homie."," mais de grâce monsieur ne soyez pas inexorable à ce fauteuil qui vous tend les bras il y a un quart d'heure"
"et bien, mesdames, que dites-vous de paris ?","hélas ! qu'en pourrions-nous dire ? il faudrait être l'antipode de la raison pour ne pas confesser que paris est le grand bureau des merveilles"
"pour moi, je tiens que hors de paris, il n'y a point de salut pour les honnêtes gens.","c'est une vérité incontestable."
