"*Récit de *L’AURORE quand l'amour à vos yeux offre un choix agréable,"," holà ? holà ? debout, debout, debout :"
"jeunes beautés laissez-vous enflammer. moquez-vous d'affecter cet orgueil indomptable,","pour la chasse ordonnée il faut préparer tout : holà ? ho debout, vite debout."
"dont on vous dit qu'il est beau de s'armer : dans l'âge où l'on est aimable"," holà ? holà ? debout, debout, debout :"
"rien n'est si beau que d'aimer. soupirez librement pour un amant fidèle,","pour la chasse ordonnée il faut préparer tout : holà ? ho debout, vite debout."
"et bravez ceux qui voudraient vous blâmer ; un cœur tendre est aimable, et le nom de cruelle"," holà ? holà ? debout, debout, debout :"
"n'est pas un nom à se faire estimer : dans le temps où l'on est belle,","pour la chasse ordonnée il faut préparer tout : holà ? ho debout, vite debout."
"rien n'est si beau que d'aimer. valets de chiens, *et* musiciens."," holà ? holà ? debout, debout, debout :"
"pendant que l'aurore chantait ce récit quatre valets de chiens étaient couchés sur l'herbe dont l'un (sous la figure de lyciscas représenté par le sieur de molière","pour la chasse ordonnée il faut préparer tout : holà ? ho debout, vite debout."
"excellent acteur de l'invention duquel étaient les vers  et toute la pièce) se trouvait au milieu de deux  et un autre à ses pieds : qui étaient les sieurs estival don"," holà ? holà ? debout, debout, debout :"
" et blondel de la musique du roi dont les voix étaient admirables. ceux-ci en se réveillant à l'arrivée de l'aurore sitôt qu'elle eut chanté","pour la chasse ordonnée il faut préparer tout : holà ? ho debout, vite debout."
"jusqu'aux plus sombres lieux le jour se communique,","l'air sur les fleurs en perles se résout."
"les rossignols commencent leur musique, et leurs petits concerts retentissent partout.","sus, sus debout, vite debout ! parlant à lyciscas, qui dormait."
"les rossignols commencent leur musique, et leurs petits concerts retentissent partout.","qu'est-ce ci, lyciscas ? quoi ? tu ronfles encore, toi qui promettais tant de devancer l'aurore ?"
"les rossignols commencent leur musique, et leurs petits concerts retentissent partout.","allons debout, vite debout, pour la chasse ordonnée il faut préparer tout,"
"les rossignols commencent leur musique, et leurs petits concerts retentissent partout.","debout, vite debout, dépêchons, debout."
"par la morbleu vous êtes de grands braillards vous autres, et vous avez la gueule ouverte de bon matin !","ne vois-tu pas le jour qui se répand partout ? allons debout, lyciscas debout."
"hé ! laissez-moi dormir encore un peu je vous conjure !","non, non debout, lyciscas debout."
"je ne vous demande plus qu'un petit quart d'heure !","point, point debout, vite debout."
"hé ! je vous prie !","debout."
"un moment.","debout."
"de grâce.","debout."
"eh.","debout."
"je…","debout."
"j'aurai fait incontinent.","non, non debout, lyciscas debout : pour la chasse ordonnée il faut préparer tout ;"
"j'aurai fait incontinent.","vite debout, dépêchons, debout."
"eh bien laissez-moi je vais me lever : vous êtes d'étranges gens de me tourmenter comme cela : vous serez cause que je ne me porterai pas bien de toute la journée","lyciscas."
"car voyez-vous le sommeil est nécessaire à l'homme  et lorsqu'on ne dort pas sa réfection","lyciscas."
"lyciscas.","lyciscas."
"lyciscas.","diable soit les brailleurs, je voudrais que vous eussiez la gueule pleine de bouillie bien chaude."
"debout, debout vite debout, dépêchons debout.","ah ! quelle fatigue, de ne pas dormir son soûl."
"holà ? oh.","holà ? oh."
"holà ? oh.","oh ! oh ! oh ! oh ! oh !"
"oh ! oh ! oh ! oh. la peste soit des gens avec leurs chiens de hurlements je me donne au diable si je ne vous assomme :  mais voyez un peu quel diable d'enthousiasme il leur prend","debout."
"encore.","debout."
"le diable vous emporte.","debout."
"quoi toujours ? a-t-on ja mais vu une pareille furie de chanter ? par le sang bleu j'enrage puisque me voilà éveillé il faut que j'éveille les autres","ce silence rêveur dont la sombre habitude vous fait à tous moments chercher la solitude,"
" et que je les tourmente comme on m'a fait. allons ho ? messieurs debout debout vite c'est trop dormir. je vais faire un bruit de diable partout","ces longs soupirs que laisse échapper votre cœur, et ces fixes regards si chargés de langueur,"
"debout debout debout  allons vite ho ho ho ! debout debout pour la chasse ordonnée il faut préparer tout lyciscas s'étant levé avec toutes les peines du monde  et s'étant mis à crier de toute sa force","disent beaucoup sans doute à des gens de mon âge ; et je pense, seigneur, entendre ce langage :"
"plusieurs cors et trompes de chasse se firent entendre  et concertées avec les violons commencèrent l'air d'une entrée sur laquelle six valets de chiens dansèrent avec beaucoup de justesse","mais sans votre congé de peur de trop risquer, je n'ose m'enhardir jusques à l'expliquer."
"et disposition reprenant à certaines cadences le son de leurs cors  et trompes : c'étaient les sieurs paysan chicanneau noblet pesan","ce silence rêveur dont la sombre habitude vous fait à tous moments chercher la solitude,"
"cette chasse qui se préparait ainsi était celle d'un prince d'élide lequel étant d'humeur galante et magnifique  et souhaitant que la princesse sa fille se résolût à aimer ","ces longs soupirs que laisse échapper votre cœur, et ces fixes regards si chargés de langueur,"
"et à penser au mariage qui était fort contre son inclination avait fait venir en sa cour les princes d'ithaque de messène et de pyle  afin que dans l'exercice de la chasse qu'elle aimait fort","disent beaucoup sans doute à des gens de mon âge ; et je pense, seigneur, entendre ce langage :"
" et dans d'autres jeux comme des courses de chars  et semblables magnificences quelqu'un de ces princes pût lui plaire et devenir son époux.","mais sans votre congé de peur de trop risquer, je n'ose m'enhardir jusques à l'expliquer."
"euryale prince d'ithaque amoureux de la princesse d'élide  et arbate son gouverneur lequel indulgent à la passion du prince le loua de son amour au lieu de l'en blâmer","ce silence rêveur dont la sombre habitude vous fait à tous moments chercher la solitude,"
"euryale, arbate.","ces longs soupirs que laisse échapper votre cœur, et ces fixes regards si chargés de langueur,"
"explique, explique arbate, avec toute licence ces soupirs, ces regards, et ce morne silence :","moi vous blâmer, seigneur, des tendres mouvements, où je vois qu'aujourd'hui penchent vos sentiments ;"
"je te permets ici de dire que l'amour m'a rangé sous ses lois, et me brave à son tour :","le chagrin des vieux jours ne peut aigrir mon âme contre les doux transports de l'amoureuse flamme,"
"et je consens encor que tu me fasses honte des faiblesses d'un cœur qui souffre qu'on le dompte.","et bien que mon sort touche à ses derniers soleils, je dirai que l'amour sied bien à vos pareils :"
"explique, explique arbate, avec toute licence ces soupirs, ces regards, et ce morne silence :","que ce tribut qu'on rend aux traits d'un beau visage de la beauté d'une âme est un clair témoignage,"
"je te permets ici de dire que l'amour m'a rangé sous ses lois, et me brave à son tour :","et qu'il est malaisé que sans être amoureux un jeune prince soit et grand et généreux :"
"et je consens encor que tu me fasses honte des faiblesses d'un cœur qui souffre qu'on le dompte.","c'est une qualité que j'aime en un monarque, la tendresse de cœur est une grande marque,"
"explique, explique arbate, avec toute licence ces soupirs, ces regards, et ce morne silence :","et je crois que d'un prince on peut tout présumer dès qu'on voit que son âme est capable d'aimer."
"je te permets ici de dire que l'amour m'a rangé sous ses lois, et me brave à son tour :","oui cette passion de toutes la plus belle traîne dans un esprit cent vertus après elle,"
"et je consens encor que tu me fasses honte des faiblesses d'un cœur qui souffre qu'on le dompte.","aux nobles actions elle pousse les cœurs, et tous les grands héros ont senti ses ardeurs ;"
"explique, explique arbate, avec toute licence ces soupirs, ces regards, et ce morne silence :","devant mes yeux, seigneur, a passé votre enfance, et j'ai de vos vertus vu fleurir l'espérance ;"
"je te permets ici de dire que l'amour m'a rangé sous ses lois, et me brave à son tour :","mes regards observaient en vous des qualités où je reconnaissais le sang dont vous sortez ;"
"et je consens encor que tu me fasses honte des faiblesses d'un cœur qui souffre qu'on le dompte.","j'y découvrais un fonds d'esprit et de lumière, je vous trouvais bien fait, l'air grand, et l'âme fière ;"
"explique, explique arbate, avec toute licence ces soupirs, ces regards, et ce morne silence :","votre cœur, votre adresse éclataient chaque jour : mais je m'inquiétais de ne voir point d'amour,"
"je te permets ici de dire que l'amour m'a rangé sous ses lois, et me brave à son tour :","et puisque les langueurs d'une plaie invincible nous montrent que votre âme à ses traits est sensible,"
"et je consens encor que tu me fasses honte des faiblesses d'un cœur qui souffre qu'on le dompte.","je triomphe, et mon cœur d'allégresse rempli vous regarde à présent comme un prince accompli."
"si de l'amour un temps j'ai bravé la puissance, hélas ! mon cher arbate, il en prend bien vengeance !","mais à quoi bon, seigneur, les soins que vous prenez ? et pourquoi ce secret où vous vous obstinez ?"
"et sachant dans quels maux mon cœur s'est abîmé, toi-même, tu voudrais qu'il n'eût jamais aimé :","vous aimez, dites-vous, cette illustre princesse, et venez à ses yeux signaler votre adresse,"
"car enfin vois le sort où mon astre me guide, j'aime, j'aime ardemment la princesse d'élide,","et nuls empressements, paroles, ni soupirs ne l'ont instruite encor de vos brûlants désirs."
"et tu sais quel orgueil sous des traits si charmants arme contre l'amour ses jeunes sentiments ;","pour moi je n'entends rien à cette politique qui ne veut point souffrir que votre cœur s'explique,"
"et comment elle fuit en cette illustre fête cette foule d'amants qui briguent sa conquête.","et je ne sais quel fruit peut prétendre un amour qui fuit tous les moyens de se produire au jour."
"ah ! qu'il est bien peu vrai que ce qu'on doit aimer aussitôt qu'on le voit prend droit de nous charmer,","mais à quoi bon, seigneur, les soins que vous prenez ? et pourquoi ce secret où vous vous obstinez ?"
"et qu'un premier coup d'œil allume en nous les flammes où le ciel en naissant a destiné nos âmes.","vous aimez, dites-vous, cette illustre princesse, et venez à ses yeux signaler votre adresse,"
"à mon retour d'argos je passai dans ces lieux, et ce passage offrit la princesse à mes yeux ;","et nuls empressements, paroles, ni soupirs ne l'ont instruite encor de vos brûlants désirs."
"je vis tous les appas dont elle est revêtue mais de l'œil dont on voit une belle statue :","pour moi je n'entends rien à cette politique qui ne veut point souffrir que votre cœur s'explique,"
"leur brillante jeunesse observée à loisir ne porta dans mon âme aucun secret désir,","et je ne sais quel fruit peut prétendre un amour qui fuit tous les moyens de se produire au jour."
"et d'ithaque en repos je revis le rivage sans m'en être en deux ans rappelé nulle image :","mais à quoi bon, seigneur, les soins que vous prenez ? et pourquoi ce secret où vous vous obstinez ?"
"un bruit vient cependant à répandre à ma cour le célèbre mépris qu'elle fait de l'amour ;","vous aimez, dites-vous, cette illustre princesse, et venez à ses yeux signaler votre adresse,"
"on publie en tous lieux que son âme hautaine garde pour l'hyménée une invincible haine,","et nuls empressements, paroles, ni soupirs ne l'ont instruite encor de vos brûlants désirs."
"et qu'un arc à la main, sur l'épaule un carquois, comme une autre diane elle hante les bois,","pour moi je n'entends rien à cette politique qui ne veut point souffrir que votre cœur s'explique,"
"n'aime rien que la chasse, et de toute la grèce fait soupirer en vain l'héroïque jeunesse.","et je ne sais quel fruit peut prétendre un amour qui fuit tous les moyens de se produire au jour."
