,0,1
0,debout,tout
1,tout,debout
2,partout,debout
3,encore,l’aurore
4,debout,tout
5,tout,debout
6,debout,partout
7,partout,debout
8,debout,debout
9,debout,debout
10,debout,tout
11,tout,debout
12,lyciscas,lyciscas
13,lyciscas,lyciscas
14,lyciscas,lyciscas
15,oh,oh
16,oh,oh
17,oh,oh
18,debout,debout
19,debout,debout
20,habitude,solitude
21,cœur,langueur
22,âge,langage
23,risquer,l’expliquer
24,licence,silence
25,l’amour,tour
26,honte,dompte
27,mouvements,sentiments
28,âme,flamme
29,soleils,pareils
30,visage,témoignage
31,amoureux,généreux
32,généreux,monarque
33,monarque,marque
34,présumer,d’aimer
35,belle,elle
36,cœurs,ardeurs
37,enfance,l’espérance
38,lumière,fière
39,jour,d’amour
40,invincible,sensible
41,rempli,accompli
42,puissance,vengeance
43,abîmé,aimé
44,guide,d’élide
45,charmants,sentiments
46,fête,conquête
47,aimer,charmer
48,charmer,flammes
49,flammes,âmes
50,lieux,yeux
51,yeux,revêtue
52,revêtue,statue
53,loisir,désir
54,rivage,image
55,cour,l’amour
56,hautaine,haine
57,carquois,bois
58,fatalité,beauté
59,beauté,naître
60,naître,maître
61,maître,secrets
62,secrets,traits
63,elle,belle
64,douceurs,froideurs
65,victoire,gloire
66,gloire,s’indigner
67,s’indigner,régner
68,régner,puissance
69,puissance,diligence
70,enflammés,renommés
71,renommés,princesse
72,prenez,obstinez
73,princesse,adresse
74,soupirs,désirs
75,politique,s’explique
76,amour,jour
77,peine,hautaine
78,soumis,ennemis
79,pyle,inutile
80,vertus,assidus
81,silence,violence
82,fameux,d’eux
83,fière,lumière
84,cœur,froideur
85,presse,tendresse
86,puissamment,aisément
87,aisément,indifférence
88,indifférence,patience
89,yeux,glorieux
90,autres,vôtres
91,appas,pas
92,caprice,propice
93,extrémités,rebutés
94,flamme,âme
95,pressentir,m’applaudir
96,confidence,silence
97,ici,éclairci
98,l’adore,l’aurore
99,seigneur,peu
100,connaître,paraître
101,aujourd’hui,lui
102,bouffonneries,plaisanteries
103,persuader,hasarder
104,souhaite,parfaite
105,jour,amour
106,voix,moi
107,moi,effroi
108,redoutable,effroyable
109,pas,gras
110,bête,prête
111,extravagances,complaisances
112,chasseurs,peurs
113,chasse,passe
114,doux,nous
115,vilaines,humaines
116,courir,souffrir
117,tour,jour
118,récit,dit
119,dit,dit
120,pénible,horrible
121,enharnaché,découché
122,homme,somme
123,vue,touffue
124,touffue,grandeur
125,frayeur,cause
126,cause,chose
127,chose,chassé
128,chassé,hérissé
129,menace,grimace
130,presser,penser
131,penser,armes
132,armes,d’alarmes
133,quatre,l’abattre
134,consens,sens
135,dise,prier
136,prier,sanglier
137,place,audace
138,effort,sort
139,gloire,l’histoire
140,amis,remis
141,rencontré,gré
142,prérogatives,tentatives
143,délicat,d’état
144,glorifie,philosophie
145,philosophie,lien
146,lien,rien
147,tigresse,adresse
148,grands,gens
149,trame,flamme
150,belle,cruelle
151,généreux,dangereux
152,père,mère
153,d’aujourd’hui,lui
154,l’avantage,village
155,alarmes,charmes
156,coups,vous
157,clairement,sentiment
158,sentiment,puissance
159,puissance,offense
160,bonheur,cœur
161,cœur,murmure
162,murmure,aventure
163,extrême,aime
164,parler,m’ébranler
165,charmes,armes
166,emplois,bois
167,l’espérance,défense
168,profité,vanité
169,vanité,quête
170,quête,bête
171,coups,vous
172,gloire,croire
173,d’aujourd’hui,lui
174,envie,vie
175,jours,secours
176,dire,inspire
177,inspire,esprit
178,esprit,l’aigrit
179,l’aigrit,salaire
180,salaire,défaire
181,dédains,desseins
182,possible,sensible
183,faire,contraire
184,contraire,dédaigner
185,dédaigner,gagner
186,elle,nouvelle
187,mouvement,événement
188,blême,j’aime
189,admirable,capable
190,abois,philis
191,oh,hom
192,lieux,yeux
193,yeux,structure
194,structure,nature
195,frais,jamais
196,tranquilles,villes
197,villes,embellis
198,embellis,d’élis
199,multitude,solitude
200,magnifique,publique
201,chars,regards
202,présence,magnificence
203,m’acquérir,courir
204,sorte,l’emporte
205,l’emporte,s’effaroucher
206,s’effaroucher,toucher
207,donne,personne
208,l’amour,cour
209,être,paraître
210,entretien,rien
211,flamme,âme
212,jour,l’amour
213,suivre,vivre
214,pris,cloris
215,conquêtes,bêtes
216,vous,doux
217,mortelle,cruelle
218,fidèle,elle
219,taisezvous,taisezvous
220,pareille,oreille
221,émaillés,dépouillés
222,appas,pas
223,perdue,rigueur
224,rigueur,cœur
225,extrême,aime
226,promptement,amant
227,cruelle,belle
228,victoire,bien
229,bien,moyen
230,armes,charmes
231,victoire,bien
232,bien,moyen
233,croire,fières
234,fières,charmer
235,charmer,bergères
236,bergères,aimer
237,suivre,s’enflammer
238,s’enflammer,vivre
239,vivre,aimer
240,seconde,monde
241,trois...,unissonsnous...
242,d’importance,excellence
243,rogne,tigne
244,peste,goutte
245,vend,dispense
246,dispense,assurance
247,rogne,tigne
248,peste,goutte
249,profondes,ondes
250,humides,néréides
251,néréides,divinités
252,divinités,beautés
253,beautés,belles
254,divinités,beautés
255,cour,jour
256,concerts,airs
257,regarder,répande
258,répande,inonder
259,inonder,commande
260,commande,débordement
261,trésors,bords
262,assurance,l’inconstance
263,le,inébranlable
264,appas,ébats
265,cour,l’amour
266,hélas,pas
267,effort,fort
268,bergers,d’empire
269,d’empire,secourir
270,bergère,sévère
271,sévère,ardeur
272,ardeur,persévère
273,persévère,froideur
274,froideur,affaires
275,affaires,mystères
276,hélas,pas
277,cœur,l’honneur
278,l’honneur,empire
279,tircis,soucis
280,soupire,martyre
281,redire,former
282,former,enflammer
283,contrainte,crainte
284,amoureux,heureux
285,contrainte,crainte
286,paupière,fraîcheur
287,fraîcheur,entière
288,entière,sévère
289,sévère,douceur
290,pas,pas
291,vainqueurs,cœurs
292,yeux,oiseaux
293,vainqueurs,cœurs
294,pas,hélas
295,misère,soupirer
296,soupirer,expirer
297,jour,l’amour
298,tendre,défendre
299,défendre,rendre
300,amitié,pitié
301,tendre,rigueur
302,rigueur,ardeur
303,préférence,indifférence
304,sortez,retraites
305,amour,ardeur
306,aimonsnous,doux
307,querelles,belles
308,tendresse,cesse
309,innocents,sens
310,soucie,d’envie
311,vieillissants,innocents
312,innocents,sens
313,innocents,sens
314,couronné,fortuné
315,voix,choix
316,cieux,précieux
317,subsiste,triste
318,glorieux,dieux
319,clartés,vantés
320,asseoir,voir
321,incomparable,inséparable
322,vœux,feux
323,pas,pas
324,garde,regarde
325,cœur,voleur
326,voleur,yeux
327,puissance,silence
328,jour,d’amour
329,d’amour,d’amour
330,chose,soppose
331,soppose,dispose
332,jour,d’amour
333,chose,s’oppose
334,s’oppose,oppose
335,éternelle,cruelle
336,cruelle,rebelle
337,rebelle,fidèle
338,fidèle,éternelle
339,bien,rien
340,guarirui,qui
341,pazzia,malinconia
342,malato,disperato
343,d’allegria,pazzia
344,pazzia,malinconia
345,ridete,volete
346,vicino,vino
347,su,monsù
348,monsù,su
349,male,servitiale
350,su,monsù
351,monsù,su
352,droit,endroit
353,endroit,droit
354,auteurs,glossateurs
355,papinian,tribonian
356,imole,barthole
357,policés,sensés
358,hollandais,polonais
359,flamands,allemands
360,embarras,cas
361,réjouir,plaisir
362,plaisir,réjouir
363,réjouir,plaisir
364,fortune,amoureux
365,amoureux,heureux
366,jour,amour
367,amoureux,heureux
368,s’assemble,semble
369,réjouir,plaisir
370,plaisir,servi
371,servi,pouvoir
372,honneur,bonheur
373,etc,etc
374,etc,etc
375,etc,etc
376,etc,etc
377,inquiétude,solitude
